flashier_factor,best_rqvi_gp,best_corr
F1,21,0.154747911528652
F2,59,0.6168295222019027
F3,21,0.3805398212113707
F4,49,0.03924720829661563
F5,60,0.6184407130196309
F6,32,0.4706906651450994
F7,21,0.2648077494707035
F8,21,0.40076129971437957
F9,23,0.08407221349204254
F10,6,0.4698213372076825
F11,9,0.355646762596218
F12,63,0.26919216200151713
F13,32,0.7350124356218972
F14,141,0.06619347602350477
F15,24,0.2628059819126361
F16,31,0.6424834029407243
F17,205,0.022013590178139135
F18,32,0.10333773482219515
F19,226,0.014198794221760418
F20,60,0.25514476535056474
F21,60,0.4333543962765109
F22,16,0.4023689420119126
F23,205,0.022700370468916653
F24,187,0.010928329060350942
F25,5,0.3300168620062033
F26,3,0.08453578757854811
F27,48,0.2670732826911198
F28,63,0.12551575128070758
F29,22,0.3315972843003059
F30,30,0.17974618926715974
F31,149,0.02961206829755662
F32,5,0.05154938236850163
F33,226,0.007797825671497434
F34,251,0.24584750821867524
F35,30,0.1789460064393105
F36,63,0.2738980725160684
F37,28,0.02093668597727901
F38,115,0.00998975624527382
F39,47,0.05651989940797124
F40,15,0.025468577819460148
F41,10,0.0796771838873805
F42,48,0.010824747757064879
F43,19,0.031971428234624996
F44,205,0.03794223451626325
F45,28,0.009328770759143682
F46,15,0.01854470805353619
F47,33,0.012260082407116464
F48,32,0.051800125023623474
F49,1,0.21728255522972487
F50,127,0.026809595263960723
F51,205,0.02710361377109551
F52,201,0.013524815495673088
F53,21,0.21233025278854015
F54,31,0.026204852761348645
F55,214,0.03366803328340979
F56,21,0.07712760221249795
F57,63,0.20686639999305784
F58,38,0.3487033164942131
F59,43,0.007557185101614749
F60,205,0.17674516389933165
F61,59,0.05091640651086506
F62,21,0.26443485926742283
F63,41,0.22053773494168172
F64,214,0.05970945096762524
F65,47,0.04682085090627424
F66,62,0.008932119144750655
F67,214,0.06312535756958984
F68,52,0.5056278563954543
F69,191,0.051916442334060675
F70,15,0.015131670198368852
F71,226,0.011317741605356348
F72,32,0.24460786930232817
F73,63,0.06228557022837005
F74,59,0.02756268709317546
F75,205,0.024195506731310934
