level2_cluster,n_common_cells
CD4_cl1,41283
CD4_cl10,1131
CD4_cl12,939
CD4_cl13,5520
CD4_cl14,11775
CD4_cl15,2323
CD4_cl16,455
CD4_cl17,3296
CD4_cl18,1259
CD4_cl2,35751
CD4_cl20,78
CD4_cl21,19539
CD4_cl22,3072
CD4_cl23,1674
CD4_cl25,1227
CD4_cl28,782
CD4_cl3,48090
CD4_cl4,8683
CD4_cl5,5267
CD4_cl7,7292
CD4_cl9,19904
CD4_miniverse,17865
CD4_prolif,4939
CD8_cl1,64761
CD8_cl10,15089
CD8_cl11,1673
CD8_cl12,14517
CD8_cl13,7463
CD8_cl14,3751
CD8_cl15,9004
CD8_cl18,1360
CD8_cl2,22454
CD8_cl20,255
CD8_cl22,5055
CD8_cl25,518
CD8_cl26,1673
CD8_cl27,4244
CD8_cl28,2454
CD8_cl4,16952
CD8_cl5,518
CD8_cl6,924
CD8_cl7,7223
CD8_miniverse,10669
CD8_prolif,9054
CD8aa_cl1,14151
CD8aa_cl16,2271
CD8aa_cl20,1502
CD8aa_cl40,5677
CD8aa_cl56,3066
CD8aa_miniverse,624
CD8aa_prolif,1054
DN_cl15,1181
DN_cl18,1199
DN_cl29,5781
DN_cl3,3380
DN_cl31,134
DN_cl34,390
DN_cl39,4253
DN_cl41,3939
DN_cl57,172
DN_cl58,907
DN_miniverse,1338
DN_prolif,762
DP_cl14,6
DP_cl51,1862
DP_cl59,842
DP_cl60,1025
DP_cl61,761
DP_cl62,622
DP_cl63,81
DP_cl64,53
DP_cl65,29
DP_miniverse,353
DP_prolif,375
Treg_cl1,11770
Treg_cl2,8437
Treg_cl3,6184
Treg_cl4,5709
Treg_cl6,1952
Treg_cl7,611
Treg_cl8,3526
Treg_miniverse,1173
Treg_prolif,4212
gdT_52,3435
gdT_53,2
gdT_54,772
gdT_cl10,3041
gdT_cl11,2876
gdT_cl12,9647
gdT_cl2,10343
gdT_cl23,2911
gdT_cl26,1391
gdT_cl28,861
gdT_cl33,83
gdT_cl35,6504
gdT_cl4,5443
gdT_cl42,5740
gdT_cl43,2114
gdT_cl46,951
gdT_cl5,2857
gdT_cl50,31
gdT_cl7,3517
gdT_cl9,2071
gdT_miniverse,3118
gdT_prolif,3823
nonconv_cl13,2482
nonconv_cl17,1372
nonconv_cl21,8824
nonconv_cl24,1464
nonconv_cl55,400
nonconv_cl8,3077
nonconv_miniverse,958
nonconv_prolif,319
thymocyte,138
