ebmf_factor,CD4_cl1,CD4_cl2,CD4_cl3,CD4_cl4,CD4_cl5,CD4_cl7,CD4_cl9,CD4_cl10,CD4_cl12,CD4_cl13,CD4_cl14,CD4_cl15,CD4_cl16,CD4_cl17,CD4_cl18,CD4_cl20,CD4_cl21,CD4_cl22,CD4_cl23,CD4_cl25,CD4_cl28,CD4_miniverse,CD4_prolif,CD8_cl1,CD8_cl2,CD8_cl4,CD8_cl5,CD8_cl6,CD8_cl7,CD8_cl10,CD8_cl11,CD8_cl12,CD8_cl13,CD8_cl14,CD8_cl15,CD8_cl18,CD8_cl20,CD8_cl22,CD8_cl25,CD8_cl26,CD8_cl27,CD8_cl28,CD8_miniverse,CD8_prolif,Treg_cl1,Treg_cl2,Treg_cl3,Treg_cl4,Treg_cl6,Treg_cl7,Treg_cl8,Treg_miniverse,Treg_prolif,gdT_cl2,gdT_cl4,gdT_cl5,gdT_cl7,gdT_cl9,gdT_cl10,gdT_cl11,gdT_cl12,gdT_cl23,gdT_cl26,gdT_cl28,gdT_cl33,gdT_cl35,gdT_cl42,gdT_cl43,gdT_cl46,gdT_cl50,gdT_52,gdT_53,gdT_54,gdT_miniverse,gdT_prolif,CD8aa_cl1,CD8aa_cl16,CD8aa_cl20,CD8aa_cl40,CD8aa_cl56,CD8aa_miniverse,CD8aa_prolif,DN_cl3,DN_cl15,DN_cl18,DN_cl29,DN_cl31,DN_cl34,DN_cl39,DN_cl41,DN_cl57,DN_cl58,DN_miniverse,DN_prolif,nonconv_cl8,nonconv_cl13,nonconv_cl17,nonconv_cl21,nonconv_cl24,nonconv_cl55,nonconv_miniverse,nonconv_prolif,DP_cl14,DP_cl51,DP_cl59,DP_cl60,DP_cl61,DP_cl62,DP_cl63,DP_cl64,DP_cl65,DP_miniverse,DP_prolif,thymocyte
F16,0.024216551770839388,0.01987121608922222,0.030169022455432491,0.6247573234414292,0.05265456015095301,0.045397298466618934,0.12836109496814696,0.10141206514748194,0.037249749422052156,0.060486268672333775,0.044566655129307901,0.015112482011489395,0.0038744516856799708,0.023166729296709595,0.017596194801834244,0.03530025111867801,0.072749340082387495,0.074213626247012485,0.024040530276152508,0.014263966599984959,0.018498675692694887,0.071580971897559104,0.046964977103696841,0.072417764393372511,0.017774149468447378,0.024115249071995123,0.8206820500796449,0.17023628498328261,0.18593727859808012,0.047194311923616478,0.013789127080222573,0.035300372967299987,0.023968639091277787,0.017904127890170377,0.079099860000031955,0.023283480650213254,0.11296097873855007,0.078936977006278344,0.025137430460858357,0.011662312972586531,0.044886005135870551,0.041890135638786949,0.072720027271130971,0.043029600997414617,0.074279739739327527,0.061234687850690799,0.031898944492889977,0.17808461485305124,0.056100268039734336,0.092226734613351791,0.051961835722574547,0.049359076155263706,0.091625275557970981,0.0047043586121156182,0.012726977379224836,0.02685895114086892,0.0048645472979565799,0.028618952306260596,0.034074534238007222,0.0054999787598044953,0.0099926849153311424,0.068572810294525929,0.063269901479034912,0.012952368408778966,0.085296909943365723,0.006551940041325457,0.025426241513924069,0.0089501192267012648,0,0.02341572935561299,0.10132000842076747,0.00077509085346419903,0.051218217456132975,0.034319866528983028,0.0130566154661554,0.010058153028346027,0.0048632409080087025,0.017737737834558384,0.0030969398469051276,0.064777879755863105,0.026206070705761628,0.024631664651370445,0.018375202007246575,0.031930615033387108,0.12322757758328952,0.014896957456292964,0.01393892705977311,0.012916049517236518,0.017005306846438386,0.025774309843790765,1,0.59591412987533254,0.035412535394833619,0.035151244535150575,0.047542180525470511,0.058201042124653948,0.038705251542273243,0.04736253537437804,0.068401377169464608,0.016033073868776757,0.046080692121611248,0.044413167342586539,0.018330132681940486,0.075248756199893699,0.081180665154124407,0.097835531530332795,0.03201643162743105,0.020916262619157387,0.12655209499176023,0.01232033419093562,0.011828451502145745,0.090092305950351489,0.093237466010083384,0.10208267189274232
F9,0.10140645256415014,0.097583558465651449,0.26872986536438026,0.14057433317139248,0.14389258834488322,0.15471853733283264,0.080411584818997045,0.16047747016908062,0.25202659730999566,0.089277077905397392,0.11872568741454256,0.046184436000988982,0.045970252128185556,0.05384196298211115,0.055991056409902075,0.062969927869335252,0.068117657037923676,0.078579126712494132,0.076278741985456533,0,0.13244072972710072,0.1949999505344121,0.073769944189764347,0.17185611452199848,0.077108363079708739,0.10532608992678261,0.14039278765908009,0.058304103881450929,0.051398912285825847,0.060721086695890318,0.042008314891887333,0.057146633527156543,0.054711449506729112,0.053028612735820158,0.060000862594206415,0.2077844517866867,0.082512327687184334,0.073153217768996762,0.20439990936179503,0.082656824958646236,0.12051678240032163,0.070117510617636963,0.1816419344506339,0.089901651841424776,0.13300262119711931,0.088905778722178405,0.13512215836283695,0.095588666053142438,0.11547343226528138,0.21627628918562311,0.076148858308907774,0.094518874226303798,0.12528629059942814,0.076443801682861995,0.074390641823130543,0.12297864248647124,0.054146553617008208,0.051987475889987339,0.061179113728831037,0.058939368952372381,0.068600441136556389,0.062440072048915884,0.082063705434619993,0.082743095574849643,0.12210125530327474,0.089753488091994141,0.070917328018831105,0.11098770364164842,0.042679880975189273,0.029780836783550833,0.1414343656742541,0.080151554728530597,0.11130876990958322,0.083067914957613523,0.070030570227335512,0.082748589025011823,0.086339954598022114,0.075450262776623506,0.07001257808129005,0.074622552715797139,0.083461854068587749,0.076433464262427794,0.064155538542435317,0.073241327619150975,0.067930601347685984,0.098123703109279328,0.068171347673695343,0.067081301001548035,0.046074024252767798,0.063720197981902205,0.037422927606424045,0.059601478706358874,0.089246309512369726,0.09544086504787147,0.092869868620523197,0.11118777402599707,0.057932157473154201,0.070477932881534963,0.07277773497046694,0.068506795256424086,0.089742608982292943,0.11139902713399898,0.044448094171420198,0.092598434759668252,1,0.071052894040103537,0.19613443774945682,0.19648756348028143,0.11524978674045505,0.12581864897132791,0.11201124501734845,0.26879579485173716,0.14652496565139783,0.17214835992188021
F61,0.39852319983041695,0.30808645195773809,0.35394213934216012,0.72506436435152155,0.26781403824118472,0.32154170245279728,0.33745880464393407,0.19912199136162892,0.29637237501741187,0.32193533465713603,0.17567086327642997,0.17621024904514176,0.17622642852089143,0.1525236401732962,0.11038475065300002,0.10802263982317872,0.15206222713032069,0.19249410844397152,0.23905622963646173,0.047292855576311847,0.18470896774549092,0.54436698075888301,0.13577282503140134,0.33026440000886603,0.27639526502182848,0.13739502154542685,0.14484213217045519,0.11467476883527636,0.14672425208763237,0.11171649209592348,0.17454560558468124,0.14318205590184135,0.19955477590544823,0.15287625331962437,0.12829670107572275,0.14243944638887765,0.29691888207166717,0.17218169751566537,0.17285003427756584,0.15492140304285826,0.22952850973765213,0.13824936290548406,0.39886460618462471,0.18051779085079278,0.3341131916980089,0.23838253194901077,0.3849705803930204,0.38746521061141959,0.30154339839825217,0.41521494575043044,0.22274384711770412,0.30557748763713971,0.1845067509847462,0.1775682749453959,0.15160093722949064,0.19638282974024973,0.16236321546057522,0.13657994862273118,0.14303430395026318,0.11561178630269693,0.16948670459021831,0.21322619276681448,0.20048819294234088,0.14055859942137902,0.22575604693140439,0.16389040201043584,0.15453314916046521,0.17617798466088183,0.080309849717223158,0.1534827005436529,0.25785334388001879,0.17989119999147921,0.39093837538922094,0.20100228615751503,0.10515462621100101,0.17005392404921549,0.15238750418403815,0.18295432753444701,0.15404850307326792,0.12563793503464726,0.19378833735986939,0.10299372546010309,0.10434859814311837,0.2212988603285457,0.12981054273181755,0.13882619747177299,0.11951492216808325,0.098821303673853486,0.1179169521803468,0.15128063298614292,0.12520418784964824,0.10034647895014295,0.16439309285270168,0.10517554871387283,0.13960338836631683,0.26232357262810618,0.13223251838470088,0.16096613943535115,0.14175741073077547,0.11377751383110969,0.14526090117014787,0.17461653680157313,0.17026633725846732,0.50785666102525273,0.21533706230387492,0.21746661724116356,0.16614115281734429,0.18543821363287219,0.13054651171779436,0.031291488294850664,0,1,0.14809663836991607,0.20163167622379197
F54,0.30716826967918254,0.11615796597515649,0.25248668418436676,0.47194178945601345,0.071699691353283565,0.23563426483148311,0.27725151874670922,0.015788365838429137,0.073381070437159496,0.16488930286178494,0.095972511172299296,0.026371106440268195,3.770366975950117e-09,0.11123708093669721,0.069829718304044136,4.144555508167601e-09,0.024637195600346867,0.062199142303184497,0.14171321073547863,3.9265087488084868e-09,0.075291234980942146,0.31236457364861181,0.053318779390607002,0.36130013408441053,0.19063096255021891,0.11756209822379797,0.2816546651948722,3.7122414437391444e-09,0.040870158028441468,0.020207030383781938,0.013801579335078213,0.050094942728947704,0.067943600376778615,0.047024885643642093,0.025695222562166078,4.3120882231585549e-09,0.25268235129512367,0.14343627798076955,5.0117566136463334e-09,4.593992712143883e-09,0.26967856403153123,0.0018104931303433241,0.38242958203240923,0.020562517485906248,0.12948955056402178,0.054401328295085843,0.096682359521516922,0.1913610508787511,0.051264734015153392,0.26735739464421415,0.042069129178686854,0.00047453538725723517,0.033088676456371841,0.0030276495542457043,0.0096487561827112434,0.12044069161405227,0.00011804562321839524,0.1276038307422328,0.05584207058509618,0.0033834566191802196,0.001571808134960347,0.22840870174449776,0.041149320448683802,0.023328183576522315,0.19919072646226199,0.0053773287530153287,0.0080362603185365859,0.058590822815647398,0.13312079196887697,1.8706975888300494e-09,0.8534379352170941,3.9898234916958491e-09,0.24877641577290704,0.046258496093130652,0.043567620669204263,0.005627118192477628,0.00058484604430930718,0.021410384759102397,0.0040908174808795385,4.5619797927262832e-09,0.086333800874157041,0.0037252012002601002,0.03341578749404564,0.025404256562902447,0.0132653255296005,0.011404240003551369,4.6353653353725786e-09,4.011987136893285e-09,0.030846715978249249,3.8377724880603746e-09,4.4424229718893399e-09,4.2905478962433204e-09,0.0639354985974947,0.034561918669786244,0.1091277675681689,0.11904962629574761,0.038750735741309814,0.021116395224998627,0.038134956419164111,4.7283748918102243e-09,0.0045532996975059144,0.2171958058247061,0,0.68628119845404034,0.091908057437757373,0.20562302497157914,5.0554723691557043e-09,4.7943542343151495e-09,0.20272778413102499,4.7905063456458738e-09,3.5917994922802726e-09,1,0.14058515819983156,5.2753125622889058e-09
F74,0.54827184026880071,0.40525501729762586,0.51374309896329096,0.44010710995567109,0.53800699081388992,0.44471715137112977,0.343719770111093,0.35399409138872762,0.19260411720504533,0.17569097942098069,0.071550917547480081,0.069516401353114932,0.0021554308339640318,0.024073719453788084,0.02789292560497442,1.7911347429268346e-08,0.050801424864908767,0.078194042045977255,0.12186979371169036,0.098842118670341567,0.21355092928672456,0.59405993211937735,0.10432928556699085,0.56485109061936589,0.43113256717479032,0.5042145324117856,0.43616920007401833,0.025527112432684233,0.12117453352342135,0.096296831209551723,0.1692758724588444,0.10736421766564812,0.1581795557004351,0.04079224668474761,0.046963185010006625,0.079633941358172852,1.970820774580178e-08,0.40295871286529478,0.044529848112251309,0.019498969720061293,0.40578712363448599,0.032674283757723015,0.80406350770600066,0.11285557398233391,0.65485478267219277,0.2884850562152953,0.58688283618493886,0.36598712356237822,0.25837792320574998,0.42790965834015926,0.26913662639744657,0.16214683722285067,0.12647341120814326,0.019044376014836547,0.011251926329276508,0.094698984248199447,0.0093259774915705005,0.11546039079201929,0.042815647834738901,0.000487214696915639,0.0073075050506029391,0.75182125241035813,0.26144539262644434,2.9618278164819651e-08,0.1980487090895261,0.00047949443020346651,0.022973884868499168,0.12893364629086879,0.041741021180839444,0,0.50243655390725461,3.8304156756224749e-08,0.28846994771728796,0.34806087476723607,0.056047309017042433,0.017387081541157805,0.045021388211472238,0.065469895751220503,0.018219263788906509,0.51253236841994987,0.3923253509822599,0.16292296916548274,1,0.28599416631075908,0.12605028868773072,0.17072339202526443,0.28948557125063828,0.20220375092118606,0.408439835967364,0.042963280321208303,1.5328453681438822e-08,0.12478337268214598,0.65208008543438634,0.090694094225579419,0.22565591365251417,0.16860412641466346,0.29144814253700374,0.60764033560241482,0.25114947844186314,2.5519266194435547e-08,0.42835177686753195,0.12301140558945763,9.6047253517571599e-09,0.78582990334653335,0.088780258989669444,0.48909212433162041,0.033797074698716519,0.59153440831127246,0.11386467699741497,0.71848376366219824,0.43341229501513728,0.47096723304890631,0.11680392931757858,1.6338443301151771e-08
F41,0.23826985060707834,1,0.33119589294490603,0.46095624678440855,0.44235981754542464,0.12852401211239028,0.45339870081626588,0.2803669449962034,0.4672579002088898,0.45831339757501938,0.1913468953619763,0.36935624383145921,0.44192263990689112,0.19472301349792623,0.1471709745238684,0.19430216777271653,0.28238390834157562,0.23296949889728982,0.36235806686955097,0.15696645370520224,0.15320557146680902,0.49510974390821799,0.24164572690895861,0.19129773268618919,0.88245489687997702,0.19263707772738523,0.077864656826584097,0.23297949835683504,0.12417520719932446,0.17442181229388273,0.65979540287834426,0.19839523330044886,0.32623379059232133,0.11339863103667851,0.13104575961589518,0.17562911181877888,0.30901021035190568,0.29085570211754713,0.12368992580001581,0.13687624453042338,0.15668796885012165,0.072924320839902218,0.49463434548877672,0.09552324356910262,0.32454066942786547,0.27883544562701934,0.32082356420660579,0.50564873822618306,0.14836476847040114,0.50818141403971129,0.38942570161350171,0.66863413975876329,0.23386056773087147,0.17775789802460976,0.24449389294070287,0.49685718803529133,0.21090619234040792,0.6921743168138963,0.11308385416383841,0.016690786081173487,0.12659181237895309,0.24985018969748607,0.74994269210964604,0.16924178979859986,0.25192843097802164,0.093644736138379786,0.11733766045665811,0.37198014378342875,0.67637586761447577,0.92063571820454837,0.25145501412394311,0.15291636059048311,0.26450102159980554,0.36620423231903415,0.25473535871219144,0.18152168913009861,0.11317456156699345,0.01470898313148577,0.17410452369462678,0.22272078708526014,0.25326697966334355,0.10661943504493064,0.33080842194160415,0.6057737316318712,0.21668728155186875,0.44047830421080142,0.32483645505064546,0.12006427675790406,0.21919890626892291,0.1574273365759917,0.2089255844840788,0.18507080746273974,0.41897952925286652,0.22444129308312122,0.37278868720892916,0.40836534890771298,0.28321188908532519,0.14741446637297384,0.28954234242070043,0.12094620876429873,0.42981718531713703,0.13884230144277851,0.32701023991078448,0.35920153571776614,0.3942764798577163,0.24491360753944105,0.11806137701246526,0.27427886903446685,0.16877479047316446,0.11846532564920775,0,0.31959418069625661,0.6660449746017546,0.18611306640614125
F11,0.16638055376847646,1,0.26752832846144453,0.30216211466815079,0.17668241567301826,0.22883190566882841,0.26965952199666993,0.16704477585698249,0.20920895191515379,0.21157062635356316,0.19341444040855496,0.20661785463304291,0.11165057253118443,0.7478385577486496,0.2694091777010012,0.43803297694983778,0.25617416055904574,0.29435250743892921,0.22409444393572181,0.035274027448395986,0.2184929499914372,0.34247808284613018,0.20033505323926207,0.18991702712814734,0.8126269328031307,0.21145257714581919,0.20762019363395764,0.49771509656585039,0.23773402691904999,0.25646957408077309,0.1576621427873206,0.1458547579320737,0.10339969469943161,0.19061782683295339,0.2099552447243003,0.12869657284175967,0.034779446441781291,0.13417096079171614,0.14890202741709579,0.26849776253083385,0.14425914898143932,0.12990133999255185,0.33354033052583176,0.15520076302155944,0.30471326128448817,0.21848400832388262,0.15138310622813689,0.33865753486652544,0.1219170268779293,0.24109602082110668,0.37761678728955145,0.25564350458527774,0.1748418723223763,0.12891638260273963,0.1127603636339317,0.21238877530870937,0.23053834169862103,0.34003384040369306,0.17506782438005017,0.10064845683582407,0.14293698552689632,0.25078274122742944,0.2156139362527987,0.19982369294133859,0.12947777565266627,0.09931112760376816,0.21875717375431947,0.31465972251048185,0.27984903418776902,0.37126002447719081,0.31028737171794674,0,0.16183053418489557,0.26301549844464089,0.13884899964837122,0.22604222203200741,0.10815470156021305,0.13792689278733866,0.12569790003019601,0.29694199330663479,0.30046156869119756,0.12416651386407583,0.12026259895745521,0.21888258008176942,0.2923239571572363,0.59913445439314084,0.1983173141053472,0.18486371117058698,0.17746989622168938,0.36250331587492618,0.14823801269336478,0.21327674606070521,0.42188010301003409,0.15326659679256413,0.23235627990091612,0.18291930247015922,0.37052715324241503,0.23171220846662205,0.32103173766056226,0.20116215865689599,0.39172773568807512,0.17463772565004274,0.17967898274687996,0.28916287724651896,0.1924213435618774,0.29133916616351974,0.19930177449761335,0.16271261866886544,0.10997106886202915,0.19186020897828676,0.23482839044496331,0.19996152780208329,0.20926052588620178,0.17042206069465465
F86,0.24183287738203432,0.38905777572977041,0.12191917251457467,3.1432292123996351e-07,2.0899494079778001e-07,3.0697329541166684e-07,0.30864363886128499,3.9836408447590003e-07,4.1817521962052371e-07,4.3570507662486151e-07,3.6929891964151078e-07,5.8122934334021785e-07,4.480155033122461e-07,5.1971672972280825e-07,4.7946764838126624e-07,3.7573624673815559e-06,0.0029537990828591596,3.3700115371935153e-07,3.8284937741257353e-07,4.069162425159604e-07,4.0988501178082439e-07,0.19325753741533497,2.9521925631102734e-07,0.00424153422961864,0.072690716144715006,4.0912391441139242e-07,4.0972233301029488e-07,4.5126549569037553e-07,3.7434185906491202e-07,0.09370284305086754,4.4128284338812837e-07,0.080845088990317074,4.3205755354870131e-07,3.2900993314196264e-07,3.2481764767665487e-07,4.8212730796461781e-07,2.9865034188761288e-07,2.2868647891199463e-07,4.2905928110079538e-07,3.6086003366898231e-07,0.053540964901819775,3.257123224871732e-07,0.031810419970915174,0.0087789342416666836,3.9466695601623021e-07,4.3002566239807497e-07,3.5465167870109501e-07,6.7845958271907874e-07,0.033180523229831352,3.6785285810179768e-07,0.030830344368854054,5.9245348885188188e-07,0.024449436155806983,3.9162470145945948e-07,0.0095966898612507776,4.3655728867636967e-07,0.25237278499800248,7.9855406881268407e-07,1,3.6117668185853633e-07,4.9022350456770819e-06,4.6246432529400958e-07,4.3065135621405211e-07,1.0049503847428887e-06,3.6895174063010743e-07,1.7508433751589704e-06,3.5018632248602204e-07,3.9523886517354535e-07,5.4501817709604882e-07,4.9991100218231205e-07,2.8428252560119974e-07,3.6890151083919524e-07,3.6656166636135323e-07,3.8870394879023431e-07,0.015508353234887791,0.018869587172132069,0.095365884493947894,3.4830390015351151e-07,3.8883118356070984e-07,4.251342325246755e-07,3.4527079796130918e-07,2.8010367354024662e-07,4.4272773168055484e-07,0.11328358622575907,4.1197961432957882e-07,0.3479151543651493,2.0625122074991383e-07,2.7118834703611936e-07,4.6465338971858567e-07,7.3917574504738043e-07,4.0575249086747791e-07,4.6842293236474356e-07,0.20763190854428759,2.6221733227038587e-07,3.3639822247661441e-07,3.2250379086458582e-07,3.6391915236462009e-07,3.7783128861545324e-07,4.4003517012955672e-07,3.4827608373883499e-07,3.2972971136085789e-07,2.1040695020010009e-07,3.08094399450455e-07,3.3469221838056035e-07,3.2528841509372397e-07,3.8600628941500372e-07,4.3308787502311128e-07,4.7031114962737324e-07,2.4807122544004137e-07,0,1.3109792323183484e-07,3.6669995297798038e-07,2.6940294233551546e-07,3.3110996906670887e-07
F144,0.022284314824859215,0.030842334592838049,0.024769760370514593,3.1262587601164552e-09,2.3002706684294084e-09,2.856049156185698e-09,0.034964614250202884,3.5909119078965115e-09,3.2752112391485682e-09,3.9280386135126301e-09,3.6778560026512068e-09,4.3397102730850308e-09,3.6271383947626194e-09,4.2771978294215474e-09,3.8736443720751365e-09,3.2574761686511942e-09,0.054511281166994989,3.1731378730168471e-09,3.0611609774440533e-09,3.6558409612900641e-09,3.7219380339918365e-09,4.5464156968213583e-09,2.9750287553165998e-09,0.012038214250437955,0.033114524561192925,3.6045796706590747e-09,3.6572100048143484e-09,3.3961352705573783e-09,0.0017819104333758056,3.0667545332987703e-09,0.083080768002412764,0.00016536446494619354,3.8804207356960404e-09,2.8267798677443811e-09,0.00045027248669221538,4.6945776314430461e-09,3.1752290234420178e-09,2.4498145953677258e-09,3.9581229165691887e-09,3.2282984039370505e-09,3.0776415810428631e-09,3.4634845480533313e-09,0.066429224464901432,0.0010336084031886553,3.6419795372863189e-09,3.1801370991678377e-09,2.8923731429567752e-09,0.042376553420040215,2.5725780415087942e-09,1,4.1100225897728231e-09,1.6380205985465296e-08,2.2156238570078653e-09,0.075218666555498387,3.4312450435758587e-09,2.8152521668415996e-08,0.21314316964180197,4.6339188082497288e-09,3.272200144184211e-09,3.3114922765004184e-09,0.029402803336861665,0.078519097565173723,2.8882312381494284e-09,0.31705110824810789,2.8268283721207958e-09,0.12005535067528329,0.10312087420738676,0.0026152527890690885,4.3672714939713456e-09,2.8173746568034195e-09,2.7376992155898303e-09,2.1917931194462201e-09,3.4474246867740656e-09,0.14839956438227345,0.0037079206387853254,0.063271045581058283,0.0075094044587878652,0.25995008210421561,3.5113387020856606e-09,3.5994208609330259e-09,2.9346392841165745e-09,2.8321447352067155e-09,3.4901135217391373e-09,3.2148852227063956e-09,3.5852828127909477e-09,3.6498387279103021e-09,1.8866591147676442e-09,2.0977651575019897e-09,4.0376035466694182e-09,0.0018391740534798215,3.6191700691825174e-09,3.7252113039885319e-09,3.9947591011350412e-09,2.5013480991873195e-09,0.065322581249952827,3.1348158605370957e-09,3.7305218595504067e-09,0.035935100961493535,3.458794950937932e-09,3.7009451656930069e-09,0.61099874193061321,2.3407933142115192e-09,1.8533086488118167e-09,3.5554920466429507e-09,3.4772599510717436e-09,3.7483285517316575e-09,3.6488795391519446e-09,4.0618612714337426e-09,2.7763339843123312e-09,0,2.4319396632675122e-10,3.6422125007264664e-09,3.1921650335394369e-09,2.7830012213278421e-09
F33,0.12085466211516412,0.15744633923545884,0.2284831590272336,0.1306946239668445,0.18337848714561819,0.18101037733955194,0.22196241032814384,8.4034359185049628e-10,0.078864090187800898,0.075073748213823663,0.15642125450477401,0.24326752945609284,0.092451214261897147,0.03022259678391025,0.32113280168950731,5.1611091875789055e-10,0.065064084472957903,0.086133753479365693,0.23299405312907515,0.1518606043118553,0.089154253774946762,0.23721736741409363,0.095808517084766551,0.18663196051824063,0.15326911427793663,0.30767537025653113,0.26644294570318178,2.1503835172898722e-10,0.12693728366830129,0.03970431623921801,3.2577453853244378e-10,0.059993224005714496,0.063254783005688889,0.042757155219374308,0.080730719101140921,0.071113179427466131,4.3955013506890025e-10,0.020697654308067987,0.13232666982153179,3.1584339302068976e-10,0.10373535079670172,0.067348374633948729,0.28163540338743642,0.12790093052183851,0.14835312947056364,0.15385970291985437,0.32719692676425172,0.15658139982025879,0.11996128410460308,0.070114396382073382,0.1791000349083029,0.24763463895898186,0.058761508938701149,0.038592295596325786,0.0082827549220331597,0.15320333417899082,0.10631544839632448,2.5747005054007336e-10,0.035927207088127758,0.13283096056293398,0.011523160544908262,0.24875385925788909,0.15464838450077409,0.11186174740263945,1.633130348352575e-10,3.232205010636397e-10,0.016615668201464082,0.018698322424966579,2.1278606854990543e-10,2.936236485555404e-10,0.089372670451381364,0,5.0961506865026107e-10,0.25743818381631339,0.11113844109000129,0.061829199812813776,2.0660070958205547e-10,0.020596292775116317,3.5255543936978337e-10,0.12391607132914707,4.0764986936479138e-10,0.033021669970251306,0.41907609669020118,0.061166117803803356,0.17331859260530855,0.11510771392462781,2.3671818559288053e-10,3.3926604680649863e-10,0.030274804580698523,0.064911424371105933,1.6829708375843341e-10,2.093855037407183e-10,0.16210029690118183,0.045117280174298287,0.33987920747333183,0.15723470057048791,0.35167264771094192,0.36485299244500863,0.058578076931874876,4.0034152590282654e-10,1,0.074346739060607431,4.3465528146249647e-10,0.22896713571922458,3.6969154768258214e-10,0.22230252399813846,0.43050888673707666,0.5590615784647166,5.4151396403927046e-10,6.2229730197197695e-10,2.5929979347444619e-10,6.2294724963530595e-10,0.033649243264912136,9.3318898383859992e-11
