display_row,ebmf_factor,rqvi_seed,rqvi_gp,rqvi_candidate,pearson_r_level2_one_to_one,unconstrained_best_candidate,unconstrained_best_r_level2,one_to_one_r_penalty,ebmf_dominant_level2_cluster,rqvi_dominant_level2_cluster
0,F16,0,GP31,seed0:GP31,0.97887864941728464,seed0:GP31,0.97887864941728464,0,DN_cl57,CD8_cl5
1,F9,5,GP37,seed5:GP37,0.75178967799046703,seed5:GP37,0.75178967799046703,0,DP_cl59,DP_cl59
2,F61,2,GP34,seed2:GP34,0.68973498756115814,seed4:GP23,0.72304674495006171,0.033311757388903573,DP_miniverse,DP_miniverse
3,F54,4,GP23,seed4:GP23,0.65787223649052951,seed4:GP23,0.65787223649052951,0,DP_miniverse,DP_miniverse
4,F74,7,GP70,seed7:GP70,0.42235147879784418,seed7:GP70,0.42235147879784418,0,DN_cl3,CD8_cl4
5,F41,0,GP74,seed0:GP74,0.65791761123447001,seed0:GP74,0.65791761123447001,0,CD4_cl2,gdT_cl26
6,F11,7,GP41,seed7:GP41,0.76080556626114915,seed7:GP41,0.76080556626114915,0,CD4_cl2,CD4_cl2
7,F86,9,GP116,seed9:GP116,0.49361227119309364,seed6:GP85,0.54972982085840194,0.056117549665308297,gdT_cl10,gdT_cl10
8,F144,1,GP220,seed1:GP220,0.461419879815332,seed1:GP220,0.461419879815332,0,Treg_cl7,Treg_prolif
9,F33,4,GP183,seed4:GP183,0.50150578708140048,seed4:GP108,0.50829966421927719,0.0067938771378767138,nonconv_miniverse,nonconv_miniverse
10,F97,4,GP108,seed4:GP108,0.77366909796282346,seed4:GP108,0.77366909796282346,0,nonconv_miniverse,nonconv_miniverse
11,F30,5,GP112,seed5:GP112,0.91191071407900948,seed5:GP112,0.91191071407900948,0,nonconv_cl21,nonconv_miniverse
12,F38,7,GP213,seed7:GP213,0.63946700008713198,seed7:GP213,0.63946700008713198,0,nonconv_cl8,nonconv_cl8
13,F105,4,GP7,seed4:GP7,0.47199567192508424,seed4:GP7,0.47199567192508424,0,DN_cl41,DN_cl41
14,F137,7,GP45,seed7:GP45,0.331211844329387,seed4:GP239,0.47308360775714542,0.14187176342775842,gdT_miniverse,DN_cl41
15,F103,1,GP99,seed1:GP99,0.50474377855640851,seed4:GP239,0.69563451906124563,0.19089074050483712,gdT_miniverse,gdT_miniverse
16,F88,1,GP145,seed1:GP145,0.47029712095756304,seed4:GP239,0.70221575413352499,0.23191863317596195,gdT_miniverse,nonconv_miniverse
17,F92,4,GP239,seed4:GP239,0.84730405367273898,seed4:GP239,0.84730405367273898,0,gdT_miniverse,gdT_miniverse
18,F2,8,GP13,seed8:GP13,0.97290971449077868,seed8:GP13,0.97290971449077868,0,DN_miniverse,Treg_miniverse
19,F163,7,GP148,seed7:GP148,0.74696820818137222,seed7:GP148,0.74696820818137222,0,nonconv_miniverse,nonconv_miniverse
20,F141,0,GP237,seed0:GP237,0.58802750334691223,seed0:GP237,0.58802750334691223,0,gdT_prolif,gdT_prolif
21,F142,1,GP231,seed1:GP231,0.69272697423440976,seed3:GP244,0.69454928534141647,0.0018223111070067022,gdT_prolif,gdT_prolif
22,F138,3,GP244,seed3:GP244,0.79034983837388295,seed3:GP244,0.79034983837388295,0,gdT_prolif,gdT_prolif
23,F52,2,GP215,seed2:GP215,0.66745375493693893,seed2:GP215,0.66745375493693893,0,gdT_prolif,gdT_prolif
24,F143,1,GP63,seed1:GP63,0.57954202148860512,seed1:GP63,0.57954202148860512,0,DN_cl57,nonconv_cl21
25,F140,4,GP162,seed4:GP162,0.63845523269117843,seed4:GP162,0.63845523269117843,0,gdT_cl7,gdT_cl7
26,F85,1,GP89,seed1:GP89,0.61089173101583605,seed1:GP25,0.68115814880085035,0.070266417785014301,gdT_cl7,gdT_prolif
27,F149,3,GP180,seed3:GP180,0.75919690152021846,seed1:GP25,0.82030108179976802,0.061104180279549558,gdT_cl7,gdT_prolif
28,F53,9,GP34,seed9:GP34,0.79832833184170737,seed1:GP25,0.86037614750833347,0.062047815666626094,gdT_cl7,gdT_cl7
29,F150,4,GP34,seed4:GP34,0.85512971938468463,seed1:GP25,0.89507811896341072,0.03994839957872609,gdT_cl7,gdT_cl7
30,F200,1,GP25,seed1:GP25,0.93159154176519055,seed1:GP25,0.93159154176519055,0,gdT_cl7,gdT_cl7
31,F107,2,GP23,seed2:GP23,0.85425159763072744,seed1:GP25,0.94098304148527989,0.086731443854552448,gdT_cl7,gdT_cl7
32,F8,8,GP45,seed8:GP45,0.90148990524537909,seed1:GP25,0.94327944730549063,0.04178954206011154,gdT_cl7,gdT_cl7
33,F93,7,GP3,seed7:GP3,0.88803037055617884,seed1:GP25,0.94347351347242159,0.055443142916242749,gdT_cl7,gdT_cl7
34,F131,5,GP39,seed5:GP39,0.84419599549643531,seed1:GP25,0.92446476820316981,0.080268772706734492,gdT_cl7,gdT_cl7
35,F197,9,GP90,seed9:GP90,0.76283689780227371,seed1:GP25,0.80740174263433906,0.044564844832065353,gdT_cl7,gdT_cl7
36,F196,9,GP218,seed9:GP218,0.76845519074048474,seed9:GP218,0.76845519074048474,0,gdT_cl7,gdT_cl7
37,F75,4,GP98,seed4:GP98,0.43020534794737575,seed4:GP98,0.43020534794737575,0,CD4_miniverse,gdT_cl7
38,F139,8,GP81,seed8:GP81,0.58941737993807286,seed8:GP81,0.58941737993807286,0,CD8aa_miniverse,CD8aa_miniverse
39,F49,5,GP2,seed5:GP2,0.64423975866731009,seed5:GP2,0.64423975866731009,0,gdT_cl28,gdT_cl28
40,F121,5,GP13,seed5:GP13,0.79022236100382537,seed5:GP13,0.79022236100382537,0,CD8aa_miniverse,gdT_miniverse
41,F146,0,GP111,seed0:GP111,0.92112001797711773,seed0:GP111,0.92112001797711773,0,gdT_cl28,gdT_cl28
42,F175,7,GP254,seed7:GP254,0.86006227533490343,seed0:GP111,0.91821474421594695,0.058152468881043529,gdT_cl28,gdT_cl28
43,F89,5,GP66,seed5:GP66,0.81022249630594134,seed0:GP111,0.81762069441482044,0.0073981981088790949,gdT_cl28,gdT_cl28
44,F94,1,GP126,seed1:GP126,0.74440860995901903,seed1:GP126,0.74440860995901903,0,gdT_cl28,gdT_cl28
45,F148,3,GP0,seed3:GP0,0.73447429346573334,seed9:GP38,0.74100875749905915,0.0065344640333258042,gdT_cl28,CD8aa_cl16
46,F65,5,GP138,seed5:GP138,0.73926323001531735,seed7:GP125,0.7529732988338238,0.013710068818506449,gdT_cl28,gdT_cl28
47,F39,1,GP120,seed1:GP120,0.74475329031882098,seed1:GP120,0.74475329031882098,0,gdT_cl28,gdT_cl28
48,F145,9,GP38,seed9:GP38,0.71247012137709353,seed9:GP38,0.71247012137709353,0,gdT_cl35,CD8aa_cl16
49,F147,7,GP125,seed7:GP125,0.64079255766433085,seed0:GP111,0.68396823249469707,0.043175674830366217,gdT_cl28,gdT_cl28
50,F24,3,GP210,seed3:GP210,0.58710917263071571,seed3:GP210,0.58710917263071571,0,CD4_cl20,gdT_prolif
51,F1,3,GP24,seed3:GP24,0.6066595281183631,seed3:GP24,0.6066595281183631,0,gdT_cl11,gdT_cl11
52,F3,6,GP188,seed6:GP188,0.86091875725263489,seed6:GP124,0.87243433155906713,0.011515574306432241,gdT_cl2,CD8aa_cl16
53,F62,6,GP124,seed6:GP124,0.95479363633113346,seed6:GP124,0.95479363633113346,0,gdT_cl2,gdT_cl35
54,F100,1,GP20,seed1:GP20,0.85678681061356099,seed2:GP59,0.87819526924378655,0.021408458630225558,gdT_cl12,gdT_cl12
55,F99,2,GP59,seed2:GP59,0.6275142319176471,seed2:GP59,0.6275142319176471,0,gdT_cl12,gdT_cl12
56,F170,2,GP29,seed2:GP29,0.53845514739564571,seed2:GP29,0.53845514739564571,0,gdT_cl4,nonconv_miniverse
57,F104,1,GP14,seed1:GP14,0.68753831382193775,seed1:GP14,0.68753831382193775,0,gdT_cl4,gdT_cl4
58,F35,3,GP82,seed3:GP82,0.78386943847313395,seed3:GP82,0.78386943847313395,0,gdT_cl10,gdT_cl9
59,F63,8,GP121,seed8:GP121,0.6310226202692728,seed8:GP121,0.6310226202692728,0,DN_cl41,gdT_cl7
60,F192,2,GP27,seed2:GP27,0.5982505707757142,seed4:GP7,0.6097832142809847,0.011532643505270501,DN_cl41,DN_cl41
61,F29,2,GP73,seed2:GP73,0.86309094616555504,seed2:GP73,0.86309094616555504,0,gdT_cl42,gdT_cl42
62,F117,8,GP129,seed8:GP129,0.87619262776340878,seed8:GP129,0.87619262776340878,0,DN_cl31,DN_prolif
63,F169,2,GP133,seed2:GP133,0.97848569101378069,seed1:GP252,0.98084515962225882,0.0023594686084781324,gdT_53,gdT_53
64,F50,1,GP252,seed1:GP252,0.98083383476707642,seed1:GP252,0.98083383476707642,0,gdT_53,gdT_53
65,F135,2,GP67,seed2:GP67,0.83653593740000809,seed2:GP67,0.83653593740000809,0,gdT_53,gdT_53
66,F198,2,GP192,seed2:GP192,0.67510976363392639,seed2:GP192,0.67510976363392639,0,gdT_cl46,gdT_cl46
67,F174,7,GP142,seed7:GP142,0.70792533342505348,seed7:GP142,0.70792533342505348,0,gdT_cl46,Treg_cl6
68,F115,2,GP226,seed2:GP226,0.64160707938007688,seed2:GP226,0.64160707938007688,0,CD4_cl18,gdT_cl28
69,F114,1,GP107,seed1:GP107,0.60503287086355417,seed1:GP171,0.62165766644172893,0.016624795578174756,CD4_cl18,CD4_cl18
70,F172,2,GP76,seed2:GP76,0.49241254841677567,seed8:GP191,0.62470008418756795,0.13228753577079227,Treg_cl8,Treg_cl8
71,F45,1,GP171,seed1:GP171,0.65074905829777685,seed8:GP191,0.66526784844944387,0.014518790151667016,Treg_cl8,CD4_cl18
72,F71,8,GP191,seed8:GP191,0.76857872416915773,seed8:GP191,0.76857872416915773,0,Treg_cl8,Treg_cl8
73,F70,7,GP236,seed7:GP236,0.83459972943024352,seed7:GP236,0.83459972943024352,0,CD4_cl18,CD4_cl18
74,F19,3,GP81,seed3:GP81,0.70052228354749424,seed8:GP191,0.74064256248491511,0.040120278937420872,Treg_cl8,CD4_cl18
75,F113,8,GP112,seed8:GP112,0.78661817001942713,seed8:GP112,0.78661817001942713,0,CD4_cl18,CD4_cl18
76,F152,8,GP48,seed8:GP48,0.75623171924778498,seed8:GP48,0.75623171924778498,0,Treg_cl8,CD4_cl21
77,F194,5,GP173,seed5:GP173,0.61122837019560639,seed5:GP173,0.61122837019560639,0,DN_cl18,CD4_cl18
78,F157,2,GP2,seed2:GP2,0.74389975622505355,seed2:GP2,0.74389975622505355,0,CD4_cl18,gdT_cl46
79,F177,3,GP92,seed3:GP92,0.88152575009823841,seed3:GP92,0.88152575009823841,0,gdT_cl9,CD4_cl17
80,F72,8,GP40,seed8:GP40,0.91627335161551149,seed8:GP40,0.91627335161551149,0,CD4_cl18,gdT_cl46
81,F6,4,GP13,seed4:GP13,0.88925787022679481,seed4:GP13,0.88925787022679481,0,CD4_cl18,gdT_cl10
82,F161,6,GP45,seed6:GP45,0.8853323295148473,seed6:GP109,0.88622496104960069,0.0008926315347533853,CD4_cl18,CD4_cl18
83,F36,6,GP109,seed6:GP109,0.93109408694125928,seed7:GP236,0.93502100353377104,0.0039269165925117644,CD4_cl18,CD4_cl18
84,F102,2,GP195,seed2:GP195,0.65630635973748475,seed1:GP171,0.66267676242040896,0.0063704026829242144,CD4_cl18,gdT_cl9
85,F153,5,GP26,seed5:GP26,0.88793812412831274,seed5:GP26,0.88793812412831274,0,gdT_cl26,gdT_cl10
86,F13,7,GP21,seed7:GP21,0.94196047728962862,seed3:GP59,0.96412161848883438,0.022161141199205758,gdT_cl10,gdT_cl10
87,F162,3,GP59,seed3:GP59,0.88033523840048922,seed4:GP13,0.9199684149284848,0.039633176527995584,CD4_cl18,gdT_cl10
88,F151,0,GP32,seed0:GP32,0.88431827187872281,seed0:GP32,0.88431827187872281,0,nonconv_cl8,gdT_cl10
89,F191,6,GP180,seed6:GP180,0.55420338773422051,seed6:GP180,0.55420338773422051,0,DN_cl18,gdT_cl10
90,F160,7,GP237,seed7:GP237,0.60777306172565393,seed5:GP197,0.68096316221195108,0.073190100486297149,DN_cl18,DN_cl18
91,F87,5,GP197,seed5:GP197,0.72669683833940801,seed5:GP197,0.72669683833940801,0,DN_cl18,DN_cl18
92,F64,9,GP248,seed9:GP248,0.64273128098750032,seed9:GP248,0.64273128098750032,0,DN_cl18,DN_cl18
93,F116,6,GP85,seed6:GP85,0.60822257988210193,seed6:GP85,0.60822257988210193,0,CD4_cl22,gdT_cl10
94,F156,8,GP131,seed8:GP131,0.78600428417692025,seed8:GP131,0.78600428417692025,0,CD4_cl15,CD4_cl15
95,F193,7,GP247,seed7:GP247,0.6575820353550188,seed7:GP247,0.6575820353550188,0,CD4_cl15,CD4_cl15
96,F159,2,GP185,seed2:GP185,0.96152020794040405,seed2:GP185,0.96152020794040405,0,CD4_cl16,CD4_cl16
97,F56,7,GP234,seed7:GP234,0.93377138791872627,seed2:GP249,0.94051212833670095,0.0067407404179746777,CD4_cl16,CD4_cl16
98,F82,2,GP249,seed2:GP249,0.50188770151723328,seed2:GP249,0.50188770151723328,0,CD4_cl16,CD4_cl16
99,F136,7,GP61,seed7:GP61,0.43013851749107485,seed7:GP61,0.43013851749107485,0,CD8aa_cl16,CD8aa_cl16
100,F158,1,GP56,seed1:GP56,0.47585249077072805,seed1:GP56,0.47585249077072805,0,CD8aa_cl16,CD8aa_cl16
101,F42,8,GP127,seed8:GP127,0.65829364580830829,seed8:GP63,0.6698377621579038,0.011544116349595512,gdT_cl43,Treg_cl8
102,F91,8,GP63,seed8:GP63,0.71185553269551705,seed8:GP63,0.71185553269551705,0,gdT_cl43,gdT_cl43
103,F95,2,GP219,seed2:GP219,0.54856667698938455,seed5:GP205,0.59332674681610431,0.044760069826719762,CD8_cl20,gdT_cl33
104,F59,5,GP205,seed5:GP205,0.87694800196311273,seed5:GP205,0.87694800196311273,0,gdT_cl33,gdT_cl33
105,F106,1,GP201,seed1:GP201,0.86254449205610551,seed1:GP201,0.86254449205610551,0,nonconv_prolif,nonconv_prolif
106,F109,4,GP247,seed4:GP247,0.71399240459870694,seed4:GP247,0.71399240459870694,0,CD4_cl14,CD4_cl14
107,F118,3,GP68,seed3:GP68,0.93123863571055288,seed3:GP68,0.93123863571055288,0,CD8_cl28,CD8_cl28
108,F20,6,GP18,seed6:GP18,0.95665463004683049,seed6:GP18,0.95665463004683049,0,DN_prolif,DN_prolif
109,F5,9,GP24,seed9:GP24,0.96728223838781169,seed0:GP60,0.97553940551535567,0.0082571671275439851,DN_prolif,DN_prolif
110,F21,0,GP60,seed0:GP60,0.99079639700483202,seed0:GP60,0.99079639700483202,0,Treg_prolif,DN_prolif
111,F34,1,GP227,seed1:GP227,0.88195212085095465,seed5:GP248,0.9125145120584558,0.030562391207501149,thymocyte,thymocyte
112,F119,5,GP248,seed5:GP248,0.88696570249252638,seed5:GP248,0.88696570249252638,0,thymocyte,thymocyte
113,F154,0,GP174,seed0:GP174,0.8669138383242827,seed0:GP174,0.8669138383242827,0,thymocyte,thymocyte
114,F18,4,GP198,seed4:GP198,0.78551024418270887,seed0:GP174,0.80269461207263371,0.017184367889924834,thymocyte,thymocyte
115,F101,7,GP246,seed7:GP246,0.89446988319613252,seed7:GP246,0.89446988319613252,0,DP_cl65,DP_cl65
116,F171,4,GP75,seed4:GP75,0.54113272661292222,seed4:GP75,0.54113272661292222,0,DP_cl64,DP_cl64
117,F14,8,GP214,seed8:GP214,0.99411219204424328,seed8:GP214,0.99411219204424328,0,DP_cl64,DP_cl64
