rqvi_seed,selected_matches,median_r,mean_r,min_r,max_r
0,16,0.79954652501273737,0.78290491443318388,0.51453158816728717,0.99079639700483202
1,26,0.65737287863043969,0.68383472975789616,0.461419879815332,0.98083383476707642
2,27,0.67510976363392639,0.71389294530619751,0.49241254841677567,0.97848569101378069
3,19,0.75633466407465133,0.71457731642266331,0.41285357535725004,0.94032213949362553
4,19,0.72528296251202662,0.70600690101542463,0.43020534794737575,0.90042043885802459
5,20,0.80022242865488336,0.80038609392016935,0.61122837019560639,0.97235049508530758
6,16,0.76914677586551661,0.7338479241345065,0.42417985817041004,0.95665463004683049
7,27,0.70792533342505348,0.71709469857245833,0.331211844329387,0.95084574530642252
8,16,0.76240522170847136,0.77468516772980378,0.58941737993807286,0.99411219204424328
9,14,0.76732305564402115,0.76674602977038175,0.49361227119309364,0.96728223838781169
