gp_idx,frac_active_cells,n_active_genes,pve
0,0.0145419483528067,1,0.004125087574687718
1,0.0177265009058142,11,0.007390431487001226
2,0.0122537416125387,0,0.00025346428887909606
3,0.0174834775692616,5,0.0028185091015631965
4,0.0097398703454718,1,0.0005413523321277549
5,0.0201598904185682,34,0.0157450595534301
6,0.0162809854754104,1,0.0013231857070803133
7,0.0378658763674007,13,0.02567633979342801
8,0.0273716868344474,11,0.005861914136483639
9,0.031834479014777,14,0.01614080792538212
10,0.0179332285492453,13,0.008940406200068135
11,0.0046253337625693,0,0.0008237112126675486
12,0.0101990897671394,0,0.0020287917362664825
13,0.0107356347958919,0,0.0017231913257672923
14,0.0114331433332702,2,0.0009036509564373924
15,0.0015512463625403,46,0.0019038670405021841
16,0.026685224812367,6,0.004831025701742413
17,0.0193582290226674,2,0.0010752988070607834
18,0.0153893738835129,9,0.005443289545476825
19,0.0514830735824164,30,0.04280955984030342
20,0.0113242562539057,0,0.0005535905902513191
21,0.0163377961255136,14,0.0054496511683985215
22,0.019097846876361,9,0.004303517782232109
23,0.0123279110723957,4,0.002026969525780891
24,0.0159637926790008,24,0.010172542336858121
25,0.0128281604080267,19,0.008618305815951396
26,0.010301664552048,2,0.0009548024367031088
27,0.0121906186679796,1,0.002582479125312703
28,0.0131169478793846,1,0.00131507194306519
29,0.0105068141218651,12,0.004744688670017811
30,0.0297924517582896,15,0.012253330533926562
31,0.0141742572007499,47,0.0077536825259961395
32,0.0177265009058142,28,0.012683052836551119
33,0.0189242587788235,6,0.002721728679365254
34,0.0116083095044217,0,0.000706679689089379
35,0.0105588905511264,0,0.00017735229684385866
36,0.0083495874915573,0,0.00029696519660516845
37,0.0098156178789428,3,0.0012369213394709945
38,0.0452733539114132,13,0.02274183597372299
39,0.0101249203072824,0,0.0003842613807599573
40,0.0068204341596126,0,0.00012469773037808538
41,0.0269961053143207,2,0.00284956659097846
42,0.0191388767903245,13,0.008821367359242983
43,0.0086620460671249,0,0.0006604358673416565
44,0.0121401203123323,0,0.0008482893446463285
45,0.0095931094993719,18,0.002891533136336226
46,0.0001073090057505,0,9.580252916666307e-06
47,0.0166250055232576,3,0.009839121987928742
48,0.0226295756244437,36,0.017542283915097205
49,0.0185092254183473,10,0.007333468207861269
