matched_pair,CD4_cl1,CD4_cl2,CD4_cl3,CD4_cl4,CD4_cl5,CD4_cl7,CD4_cl9,CD4_cl10,CD4_cl12,CD4_cl13,CD4_cl14,CD4_cl15,CD4_cl16,CD4_cl17,CD4_cl18,CD4_cl20,CD4_cl21,CD4_cl22,CD4_cl23,CD4_cl25,CD4_cl28,CD4_miniverse,CD4_prolif,CD8_cl1,CD8_cl2,CD8_cl4,CD8_cl5,CD8_cl6,CD8_cl7,CD8_cl10,CD8_cl11,CD8_cl12,CD8_cl13,CD8_cl14,CD8_cl15,CD8_cl18,CD8_cl20,CD8_cl22,CD8_cl25,CD8_cl26,CD8_cl27,CD8_cl28,CD8_miniverse,CD8_prolif,Treg_cl1,Treg_cl2,Treg_cl3,Treg_cl4,Treg_cl6,Treg_cl7,Treg_cl8,Treg_miniverse,Treg_prolif,gdT_cl2,gdT_cl4,gdT_cl5,gdT_cl7,gdT_cl9,gdT_cl10,gdT_cl11,gdT_cl12,gdT_cl23,gdT_cl26,gdT_cl28,gdT_cl33,gdT_cl35,gdT_cl42,gdT_cl43,gdT_cl46,gdT_cl50,gdT_52,gdT_53,gdT_54,gdT_miniverse,gdT_prolif,CD8aa_cl1,CD8aa_cl16,CD8aa_cl20,CD8aa_cl40,CD8aa_cl56,CD8aa_miniverse,CD8aa_prolif,DN_cl3,DN_cl15,DN_cl18,DN_cl29,DN_cl31,DN_cl34,DN_cl39,DN_cl41,DN_cl57,DN_cl58,DN_miniverse,DN_prolif,nonconv_cl8,nonconv_cl13,nonconv_cl17,nonconv_cl21,nonconv_cl24,nonconv_cl55,nonconv_miniverse,nonconv_prolif,DP_cl14,DP_cl51,DP_cl59,DP_cl60,DP_cl61,DP_cl62,DP_cl63,DP_cl64,DP_cl65,DP_miniverse,DP_prolif,thymocyte
F16->seed0:GP31,0.0037312863772864238,0.0049681618362489369,0.0085419006507028092,0.63319251563800139,0.011784591553643156,0.010905584878844169,0.060974082051433932,0.013244014238612486,0.0091158033413626539,0.0054273732240574211,0.003089085099985029,0.0046012430538786789,0,0.0025970081657343538,0,2.0601083714334455e-36,0.019189313097196951,0.018076450711010453,0.0025566723209450226,0.0034880761549720227,0.0082094686293692019,0.014673412996542979,0.0043327287446911422,0.060234090462233617,0.010396711382458646,0.0055705397831424322,1,0.12274601738876768,0.15897115444945084,0.019331944030604835,0.0012791003311848671,0.006773283068262464,0.0045878275887069305,0.00057049713424213227,0.023706741111288676,0.0047204446972801172,1.0015372007547293e-07,0.026007053310654588,0.0041311481717381552,0.0063955015489275974,0.020357456418730113,1.7975452208879209e-43,0.037554629325204092,0.0028362276236649055,0.041441750247526256,0.006335912924855162,0.0010382407202369952,0.062112334763865469,3.7067901157952953e-35,0.031353014855684078,0.0048550669247485086,0.01094595795849879,0.0051424944055684868,0.00062069082401955248,0.0062904566441080445,0.0031511808716536446,0.0012169092254215007,0.011366157693163995,0.0056291769922086681,0.00074406634602454467,0.0044364772770168689,0.047734737792506615,0.018460812957801599,0,0.077347037675435049,0.00098705476409829702,0.016031024004162089,1.5681564093743182e-38,4.5280592101124066e-39,0,0.057723625967132826,0,0.030491299495942641,0.011772419390582524,0.0016792581856143482,0.0034780747417590898,0.00094228747815447563,0.008550229276892923,0.0011308445577906082,0.034881767319070008,0.0034293826656208947,0,0.00189935047843378,0.0054359051440522783,0.083147256017261223,0.0021406125041183045,0,3.4284890288539392e-25,0.0015053747886065421,0.010475193490763484,0.92091744739334103,0.5803955309944302,0.015993244953455988,0.0056166269166646908,0.010555294031747557,0.027185902725925967,0.012477760727728477,0.021452270594924983,0.029234081388910121,3.2337823544230181e-32,0.024451354959628416,0,0,0.057463339279213467,0.033039365855149182,0.043842564484152878,0.0056240071237573077,0.010321228606750946,0.026418947958412334,0,0,0.048497106679772202,0.01711947508426849,0.046520320521144305
F9->seed5:GP37,0.098528269293201992,0.10040896283685602,0.13468055230397719,0.0032675580551628919,0.069535885729851685,0.10206966216783106,0.078426544164401202,0.050416979825099462,0.075336927651850377,0.018003791483765973,0.072379438990648554,1.2537419466353637e-06,3.6743702175679852e-38,0.067368611447425314,1.5307845541269662e-05,2.1406115919665269e-23,0.0093241473274257112,0.036915749040840322,0.016947969873936583,1.1214410769658667e-06,0.27844005661159443,0.022201396047955228,0.0057361387790726788,0.34477932250677334,0.1382596489906423,0.10181800985705225,1.0866213668776335e-11,0.01534830062823803,0.034654094682772606,0.01931691828163196,0.018822331230697466,0.24487373661880563,0.19497581317334262,0.16901701655036525,0.11762276117838749,3.3632333572968431e-09,1.6870845681215955e-10,0.011336986449715685,0.35053189802629203,0.077170609848736041,0.081561134094814372,0.067005650211073839,0.02532950204589909,0.10759132346591886,0.023016422955707706,0.0033513291295743275,0.016038723145216656,0.0029995604767386508,0.014540327762502685,0.04642288309673976,0.020072340377977525,4.362141299694336e-35,3.0509565615666405e-13,0.0021408868612780517,0.017654863167752152,0.019857685624123315,4.0142571917901266e-17,0.018916665924484252,2.2475023103618513e-19,3.1200240569210986e-06,0.03531727674155561,0.025859661379888609,0.020349589472907343,0,1.4164062551852313e-22,7.0450266280867944e-08,0.062312278667731702,0.00538349624190026,0.032411819794782117,7.2571229798905621e-29,0.089789686871443578,0,0.1102369962408508,1.0974597450186463e-32,0.014332600832382629,0.06179638625426738,3.9292747054987091e-19,0.011272990943880741,0.0054828559833507585,0.032169313345878768,0,0.013455246201950046,0.02151540960725919,0.024016769502894539,1.1741966319743188e-16,0.029623026832418596,7.8709153990900147e-42,0.037583683430704826,0.079369691138472462,0.021649125823517568,0,2.0686348360986104e-12,0.021245976118593222,5.9580177568985953e-22,0.013387837129742919,0.05119835608770066,0.31414254304369632,0.0025923387430962144,0.031411575356768029,0.035481993019022766,1.1054605659763953e-31,0,0,0.24865025855460723,1,0.080518159804372436,0.2241199479855874,0.091997386458996258,1.5390934044224957e-33,0,0,0.12042823906321413,8.1554397725779126e-30,2.4372098078583334e-13
F61->seed2:GP34,0.12412466471760102,0.13192728537814696,0.22460678925108823,0.051451727558088065,0.07449161207534287,0.02076240096909663,0.061008862206529978,0.076319713765392955,0.091044434645446815,0.031984913352450031,0.1124760327078768,0.013096728225493286,0.028538455265931115,0.02684912798443102,0.0070105915737969258,2.447592458996129e-23,0.058538965125436694,0.0028188011255343356,0.039302723411519296,0.0034988899086079001,0.082961551399464789,0.40246011106800239,4.0040167233917821e-18,0.097638437243393078,0.083023253921633289,0.026053515165333847,2.0794804315229252e-12,0.027228691984437253,0.020840732355614972,0.01691164160737494,0.010331218671557164,0.056959428600711799,0.03778074084923376,0.0034633325317545522,0.00070981268333084903,0.049625517282332839,0.016973253237780987,0.036011069577903849,0.10851516014003218,0.033188009091253773,0.0058048327063532999,3.0297254151199916e-44,0.2233025141007749,0.002732886336301945,0.06982983417360604,0.0063016007684076163,0.040249006206782047,0.028028316592801961,0.0022173052808460241,0.3706471718552013,0.024668582665019187,0.14817421821398205,1.7477628940352671e-14,0.074838182365578446,0.0308404514567872,0.012170046888030523,0.013478252890661018,0.00027000774397816104,0.0056513217133841668,0.0030135668074363657,0.022954777366254502,0.025730417889160872,0.0218925231743697,0.22133451267559207,0.053824690738614157,0.19252623872054869,0.044523299540641686,0.0042539950392141684,1.2157189599004589e-21,0.11163074797341666,0.10875454740143914,1.9868440233299244e-36,0.061677812593650974,0.088301187081043078,0.0079219260535783563,0.055645932264688586,0.17478297211215663,0.017223178316999651,0.071602781876563437,0.031047513712104412,0.10623186384725612,1.7329650225991548e-23,0.017997508180691436,0.024285506347620996,0.0035654211205794358,0.046701302054794398,8.0912033047898565e-33,0.044393462822066306,0.014430515065439471,0.011980536697678935,0,3.8531550088892141e-14,0.15171511457296191,0.011360047201390696,0.0068364091971383463,0.065522014763938513,0.11579694070446482,0.047111875294424385,0.047083002011218296,0.18290831479574199,0.15319890095412111,5.5925316229754298e-16,1.2623669928901868e-37,0.26333201237305232,0.37656829407934522,0.067928629537468269,0.067506528192633752,0.061494276156182165,0,8.2686798586105067e-24,0,1,0.022368264942043081,0.062727257539298559
F54->seed4:GP23,0.30729606826078348,0.21825066071480237,0.28302779656485022,0.41113598626975034,0.17344296431831957,0.097885573880302612,0.056503174993714329,0.04526938975176565,0.14118439481845987,0.024839966041660791,0.29419621000416135,0.0033996669869254354,0,0.0067633420193475039,1.0429167835006514e-33,1.5966344956442674e-38,0.035881205884245773,0.0026568636985182465,0.013966610462565454,6.3300746326855824e-12,0.010437195865205326,0.30889584671457393,7.7780259444290704e-15,0.13326758662810609,0.027053479895216087,0.020291845342234573,0.031509166429529896,0.0070205915791464327,0.0076259569657261628,0.040644517133286401,0.0048785925710603303,0.003288139968820783,0.009119287297662277,0.004461809580526852,1.3519329364018158e-05,0.0060014793416770379,0.029119423601143692,0.038672681595108227,0.031513069442991738,0.049286577375915575,0.0097740190301697141,4.87027716088663e-08,0.09258156059569192,0.0009016216563868403,0.041924232975623754,4.1089533308714365e-09,0.0065984988742515908,0.0067949546327737307,4.9177558260250118e-31,0.14180401248882687,1.1843492751409424e-22,0.006958158871338614,1.3065206973367729e-08,0.00085782898018510587,0.12708280391605614,2.0138032984871169e-10,9.5706493387669179e-10,7.1502271268985006e-37,0,5.8632403508255726e-08,0.005055422260635681,0.005607619087107025,5.8623066311684516e-28,0.085333520947865837,2.3045113636498124e-23,0.017466266826797409,0.19928152557712381,2.2208685282321441e-36,0,8.1618851146926466e-45,0.11177960396329714,0,0.05288156619066417,0.023334331667914279,3.2831047386558265e-18,0.02768389982053239,0.0071884309522679485,0.010868022603361399,0.0017905418687770471,0.0026614066853919358,0.026159888146261634,2.0159856233290836e-42,0.0024147776969796492,0.018987613645578216,0.0068072435750966684,0.0067629763668943651,0,2.3022168128875189e-26,0.0078764928853051509,0.0038520835435868943,0,0.0089987623725506331,0.012193800860532032,4.5225993008610827e-31,0.0027480114689177257,0.092112595000771916,0.15615283505323979,0.01017432113418535,2.0102000710655336e-07,0.040804882668208392,0.06815746218914899,1.8181807051974846e-38,0,0.43013157407708569,0.48301007711226629,0.042041241760627984,0.042737358331609472,0.052469759093390862,3.9628614638757212e-29,0,0.28144432555751897,1,9.2118863328539997e-34,1.7948359181547384e-25
F74->seed7:GP70,0.17595069349199977,0.17854933936725761,0.19930335949329006,0.080609893683933398,0.14324398713986478,0.081572366795320303,0.46427026621980233,0.14741657123470703,0.16432781235836266,0.06367567937221924,0.065303566591487811,0.016231101380064557,9.5200127427634258e-36,0.088739961052281949,2.2554241014609802e-15,1.0815820588616406e-20,0.066359173265934546,0.2009671210998224,0.094158707222238444,0.0065879852489822317,0.21502954140197722,0.072733113393215046,0.0082431759648395435,0.49603707655915968,0.20565525198847007,1,0.63289419408043512,0.39628957145789134,0.085932086988033174,0.1407259495092654,0.30462018942290819,0.13207685946010744,0.59163549617842393,0.35722782006189829,0.66260470200210286,0.40945148643882684,0.15730243846406858,0.48334305638624314,0.35498013368908093,0.080404387927419926,0.12229415332363912,0.21453810756382921,0.17128358767799673,0.05239848732630973,0.54917600056842886,0.019308432671624146,0.086041969476377017,0.23992723917651226,0.012439928791200478,0.38288921871194465,0.029087103545784667,0.05566042135995615,0.013483948636736909,0.010784618440162564,0.043021463278910918,0.085571601130164446,1.3930422280662034e-16,0.072436175641582043,0.049831054108001309,0.073023754130950247,0.046048960050983988,0.69542092304523595,0.16259761280930646,0.042537921320953465,0.15275647135388143,0.027637717674392326,0.080977982034190932,0.018501192673832545,0.04249265961374165,0,0.40904526033302391,0,0.273185884051038,0.030278960949056188,0.0076152432357015952,0.06849495628587085,0.031939727634344446,0.026665054555663221,0.019720955791324882,0.39206188242884965,0.008447506386538196,0.057514432812437982,0.47148672498127264,0.066149306483749865,0.019965191012520228,0.29373553818815595,2.6003874563159823e-25,0.020726816055978921,0.43991825037105098,0.12076608872904838,0.093966595755877305,0.10632758553652701,0.056397435506735427,0.010608213132984285,0.067032044363958349,0.27049845755493335,0.79303889768144598,0.19002076074556323,0.32709108755896782,0.053834416664921989,0.030110323845158774,0.025339993887288949,0,0.79080264131845079,0.4529132176908422,0.43368512812644922,0.4956558283390361,0.26043395398394448,0.20085526220596117,1.9156320581220043e-24,9.7330526864443563e-33,0.68126350594291807,0.042952349711739841,0.11715157041787357
F41->seed0:GP74,0.1808987119395514,0.8272223962927141,0.16849243827156021,0.10031154431314603,0.031589143382846331,0.016252712625334377,0.3397477689589577,0.1022929890428342,0.22638784825007949,0.091897058060544268,0.037551343146271489,0.051535644483838169,0.035572983135709384,0.05695560323251319,0.011646295829853937,8.9027211324056808e-06,0.052177433449920312,0.059066980070844932,0.05828635845465209,0.015665277613127384,0.046330566095596291,0.22700448048750305,0.027537044165178052,0.067802648119415526,0.53724234950527106,0.11622186181095985,7.8186572102429217e-24,0.054895409398821073,0.013073914275967076,0.0067708748602564994,0.004331277892541922,0.078099791279657729,0.13193950936082188,0.013349070932163427,0.024369908619271897,0.012872304656918656,3.0411801670168533e-23,0.017558448797140698,5.9791117342222821e-27,0.043312746317394638,0.011286883661234799,0.0123933942229015,0.065463218003339652,0.0082519200329500483,0.18018709614961548,0.056636377918019662,0.047277971960577043,0.34627461289927075,6.4998915964338132e-30,0.26366541442190611,0.13463035253477393,0.055616696004227167,0.11619290588512526,0.10133536382294742,0.090108290525035578,0.28739930279695697,0.032697691583738427,0.018226984314235854,0.068653159601642991,0.010031581234125328,0.021900777549215659,0.087498286267152184,1,0.0075689449579443438,4.8898167602927598e-19,0.049600490830478565,0.016195542062757553,0.03055495089811195,0.061316738119302473,0.93499481604871337,0.082257339776485777,0,0.10329009895738379,0.034610885544094604,0.027039284119080451,0.059523412706579092,0.041567772808153811,0.0096487717209298024,0.1124772939455449,0.086265456565966334,0.00028282452013306399,2.9929536232732603e-30,0.1860842718888974,0.020487119685362997,0.0060440621366922602,0.12057885185551254,0.054076324806069213,0.037305725012615684,0.11995688639451191,0.023576647408125807,1.9205967065605316e-25,0.0079890892100481416,5.1770760659708167e-14,0.009512986109561224,0.10230848872385526,0.087669688536844606,0.032735297331562163,0.014459253157398792,0.062598929123487607,0.054345886649868946,0.015127763312697044,0.022715447015438237,9.6888585771133421e-40,0.18840659366140583,0.1292218986217965,0.050663341421089601,0.019043961703976528,0.011649683441297297,0,0.13672128051857485,0,0.12316534935078149,4.8996705430120138e-09,7.9802705509538806e-41
F11->seed7:GP41,0.060007772921530096,1,0.16083478159246328,0.15847597602177316,0.060648477088503107,0.10894580273474561,0.25776971090575246,0.056775655858313866,0.10159934040933535,0.05075394288748785,0.053468014476063037,0.07525327812771801,0,0.86822718795219644,0.038350522480952172,0.30871389131201848,0.15619783738765625,0.026177156150962274,0.033367497051844199,0.0072698921454965055,0.030771685600253514,0.10646198347876927,0.014100060391843859,0.012085396025696553,0.18403025820804139,0.04277151206600787,0.030990581954557464,0.086450194066188313,0.027321311096977229,0.03617461815242054,0.023980105045207197,0.010005232515020104,0.023723188477454516,0.0021398604951617496,0.028450003676164872,1.2039841279575069e-43,6.0851765795228315e-40,0.02360225067976944,1.0023729724505957e-38,0.028787136890426848,0.0056738270545828619,0,0.014070617361322701,0.012411247106023485,0.34314205824778898,0.027524423219363662,0.029843612093651346,0.12060697495295633,0.026066900903116523,0.14062956008988464,0.10036712686685766,0.054739122324466337,0.011428990300382802,0.001550428233074632,8.3041955796766201e-13,0.011219027508308294,0.0045641224288116289,0.075806878056313712,0,8.2791992638680505e-23,0.0067347830051379632,0.096515589668082449,0.063473882694702694,0.0097767845533010215,0,0.001244396096009226,0.022489955561748494,0.033889403302255559,0.033498490524965979,0.25892131369758298,0.17065138591415624,0,0.072779696750109729,0.022206093829212122,9.6115232839293178e-22,0.035639001733416088,1.5731366579776471e-14,0,4.2613677773393491e-08,0.11642256824904429,1.4480777831537898e-18,0,0.018988093078568153,0.061181617313484399,0.053559001161924955,0.1450107780659135,0.059897650914594501,6.4429003303411389e-28,0.041562118036035406,0.069709396759003145,0,1.0111380571677347e-18,0.014117075095540155,0.010478422356989963,0.029452826938679323,0.19140276672341983,0.13892495936152241,0.023035166128940601,0.093020134788431103,4.8421693996036161e-24,0.016756912233409822,0.025161632461210042,0,0.082144931435511881,0.057142327619171158,0.085991227290050057,0.042189551087293983,2.1851976412185095e-25,0,0,0,0.022584779746354255,0.021404164147664322,0
F86->seed9:GP116,1.0802291412439121e-28,0.0048208654506815751,0.00051192873682545073,0.002835601657344053,1.3734692733906124e-09,0.011817794678214099,0.060617817684570738,0.021769728036992959,0,0.1622512591573006,0.026137502326118948,0.18548300127180045,0.054113252926970432,0.05602593208367912,0.05866925018728366,0.3156606318150238,0.052761133350643905,0.24232378285564529,0.051594208297445404,0,0.078713329125678175,0.039872307087981736,0.002492572177150325,0.0095300539245953865,0.023107862584883336,0.072625151354693759,0.16635436309004323,0.13323244825994976,0.18070835744806912,0.22509662842138919,0.13245299220763079,0.044096683130426494,0.06103352019268217,0.085326610244299245,0.42569518025199737,0.099569499952997492,0.04827751230571705,0.031659728401884017,0.047531908393533377,0.073573173780573223,0.15373889489024978,0.090290970334947832,0.20998011762295291,0.084295859481191879,0.011505388101527958,0.2464578852933195,0.017916700049356318,0.19599773600117121,0.025226974795580986,0.12089131313557092,0.07681168903146833,0.042107380544589811,0.026305053061610798,0.0035707529918481565,0.020355846586404748,0.1165457794735336,0.070007198350199973,0.85102061900394987,1,0,0.029350851912287673,0.16442449071967791,0.061952087883494468,0.071498864135005558,0.1483224539824855,0.0037855978680907494,0.04289370107917638,0.22257045955246629,0.40368283166886049,0,0.057163360545211254,0,0.015946586252096585,0.066320545420048449,0.04186242957073201,0.04001764674221963,0.016262569105860804,0.024588745371091007,0.015179736422593284,0.37693352251203016,0.055187109831864013,0.058400205816284689,0.054188870566641345,0.031272050118008529,0.2464060446641429,0.70365786297636568,4.2225922126732822e-42,2.9596454125585852e-23,0.063675434869137307,0.35252431732994688,0.071574212168934614,0.33932646379544512,0.29941884327958568,0.093660252988179551,0.068015274802607967,6.7388004420647792e-26,0.17945709134749738,0.020926560085320491,0.10932161360045983,0.030776911171088061,0.13441707619245388,0,0,0.0066115814944785476,0.043851807252231957,0.21654420492675808,0.032354176163395559,0,0,0,0,0.069749372778861105,0.065657410087962373,0
F144->seed1:GP220,0,0,0,0,0,0,0,1.5568928654980895e-33,0,0.54503103160780941,0,5.0603384618643127e-11,0,0.18255035866983602,0,0,0,0,0,0,0,6.5799981515337936e-12,0.36548749926590862,0,0,0,0,0,0,0,0.35966185223053065,0,0,0,0,0,0,2.3254532232148103e-11,0,0,0,0,0,0.066458389292759504,0,0,0,0,0,0.98480238259592046,0,0,1,0,0,0,0,0,0,0,4.2119998190043508e-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F33->seed4:GP183,0,0,0.005691709015971093,0,0,0,0.01375172251829746,0,0,0.074378882722866066,0.011622687849781214,0,0,0,0,0,0.042025840272104861,0,0,0,0,0.2987645494546311,0.0554189724245161,0.0042265297857952957,0,0,0,0,0,0,0,0,0,0,0.015199594519637564,0,0,0,0,0,0,0,0.19241328286224138,0.12092524602467618,0,0,0,0.047944352240741582,0,0,0,0,0.032492200168909094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65838909007650182,0.03579836781426405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10228486432461202,0.53880769230242853,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
