rqvi_candidate,rqvi_seed,rqvi_gp,informative
seed0:GP0,0,GP0,True
seed0:GP1,0,GP1,True
seed0:GP2,0,GP2,True
seed0:GP3,0,GP3,True
seed0:GP4,0,GP4,True
seed0:GP5,0,GP5,True
seed0:GP6,0,GP6,True
seed0:GP7,0,GP7,True
seed0:GP8,0,GP8,True
seed0:GP9,0,GP9,True
seed0:GP10,0,GP10,True
seed0:GP11,0,GP11,True
seed0:GP12,0,GP12,True
seed0:GP13,0,GP13,True
seed0:GP14,0,GP14,True
seed0:GP15,0,GP15,True
seed0:GP16,0,GP16,True
seed0:GP17,0,GP17,True
seed0:GP18,0,GP18,True
seed0:GP19,0,GP19,True
seed0:GP20,0,GP20,True
seed0:GP21,0,GP21,True
seed0:GP22,0,GP22,True
seed0:GP23,0,GP23,True
seed0:GP24,0,GP24,True
seed0:GP25,0,GP25,True
seed0:GP26,0,GP26,True
seed0:GP27,0,GP27,True
seed0:GP28,0,GP28,True
seed0:GP29,0,GP29,True
seed0:GP30,0,GP30,True
seed0:GP31,0,GP31,True
seed0:GP32,0,GP32,True
seed0:GP33,0,GP33,True
seed0:GP34,0,GP34,True
seed0:GP35,0,GP35,True
seed0:GP36,0,GP36,True
seed0:GP37,0,GP37,True
seed0:GP38,0,GP38,True
seed0:GP39,0,GP39,True
seed0:GP40,0,GP40,True
seed0:GP41,0,GP41,True
seed0:GP42,0,GP42,True
seed0:GP43,0,GP43,True
seed0:GP44,0,GP44,True
seed0:GP45,0,GP45,True
seed0:GP46,0,GP46,True
seed0:GP47,0,GP47,True
seed0:GP48,0,GP48,True
seed0:GP49,0,GP49,True
seed0:GP50,0,GP50,True
seed0:GP51,0,GP51,True
seed0:GP52,0,GP52,True
seed0:GP53,0,GP53,True
seed0:GP54,0,GP54,True
seed0:GP55,0,GP55,True
seed0:GP56,0,GP56,True
seed0:GP57,0,GP57,True
seed0:GP58,0,GP58,True
seed0:GP59,0,GP59,True
seed0:GP60,0,GP60,True
seed0:GP61,0,GP61,True
seed0:GP62,0,GP62,True
seed0:GP63,0,GP63,True
seed0:GP64,0,GP64,True
seed0:GP65,0,GP65,True
seed0:GP66,0,GP66,True
seed0:GP67,0,GP67,True
seed0:GP68,0,GP68,True
seed0:GP69,0,GP69,True
seed0:GP70,0,GP70,True
seed0:GP71,0,GP71,True
seed0:GP72,0,GP72,True
seed0:GP73,0,GP73,True
seed0:GP74,0,GP74,True
seed0:GP75,0,GP75,True
seed0:GP76,0,GP76,True
seed0:GP77,0,GP77,True
seed0:GP78,0,GP78,True
seed0:GP79,0,GP79,True
seed0:GP80,0,GP80,True
seed0:GP81,0,GP81,True
seed0:GP82,0,GP82,True
seed0:GP83,0,GP83,True
seed0:GP84,0,GP84,True
seed0:GP85,0,GP85,True
seed0:GP86,0,GP86,True
seed0:GP87,0,GP87,True
seed0:GP88,0,GP88,True
seed0:GP89,0,GP89,True
seed0:GP90,0,GP90,True
seed0:GP91,0,GP91,True
seed0:GP92,0,GP92,True
seed0:GP93,0,GP93,True
seed0:GP94,0,GP94,True
seed0:GP95,0,GP95,True
seed0:GP96,0,GP96,True
seed0:GP97,0,GP97,True
seed0:GP98,0,GP98,True
seed0:GP99,0,GP99,True
seed0:GP100,0,GP100,True
seed0:GP101,0,GP101,True
seed0:GP102,0,GP102,True
seed0:GP103,0,GP103,True
seed0:GP104,0,GP104,True
seed0:GP105,0,GP105,True
seed0:GP106,0,GP106,True
seed0:GP107,0,GP107,True
seed0:GP108,0,GP108,True
seed0:GP109,0,GP109,True
seed0:GP110,0,GP110,True
seed0:GP111,0,GP111,True
seed0:GP112,0,GP112,True
seed0:GP113,0,GP113,True
seed0:GP114,0,GP114,True
seed0:GP115,0,GP115,True
seed0:GP116,0,GP116,True
seed0:GP117,0,GP117,True
seed0:GP118,0,GP118,True
seed0:GP119,0,GP119,True
seed0:GP120,0,GP120,True
seed0:GP121,0,GP121,True
seed0:GP122,0,GP122,True
seed0:GP123,0,GP123,True
seed0:GP124,0,GP124,True
seed0:GP125,0,GP125,True
seed0:GP126,0,GP126,True
seed0:GP127,0,GP127,True
