display_row,program_index,program_label,max_mean_loading,dominant_level2_cluster
0,21,GP21,0.64284135004614473,gdT_cl7
1,33,GP33,0.40845737122596215,gdT_cl4
2,3,GP3,0.47981870865328513,CD8_cl7
3,42,GP42,0.4999491503539637,CD8_cl4
4,170,GP170,0.036679536679536683,CD8_cl5
5,234,GP234,0.011583011583011582,CD8_cl5
6,106,GP106,0.26060930522817921,CD8_cl5
7,159,GP159,0.069498069498069498,CD8_cl5
8,95,GP95,0.12932330350920029,CD8_cl5
9,31,GP31,0.46730396043295558,CD8_cl5
10,51,GP51,0.20841699983753584,CD8_cl22
11,115,GP115,0.15094339622641509,DP_cl64
12,199,GP199,0.39622641509433965,DP_cl64
13,97,GP97,0.44819986311501525,DP_cl64
14,161,GP161,0.30188679245283018,DP_cl64
15,205,GP205,0.20754716981132076,DP_cl64
16,141,GP141,0.43396226415094369,DP_cl64
17,13,GP13,0.68128803389729642,DN_cl15
18,77,GP77,0.41976579683595611,DN_cl15
19,229,GP229,0.055038103302286201,DN_cl15
20,122,GP122,0.41379305413463924,DP_cl65
21,191,GP191,0.17241379310344829,DP_cl65
22,135,GP135,0.13793100981876769,DP_cl65
23,71,GP71,0.13729937939808287,DP_cl65
24,230,GP230,0.034478853488790581,DP_cl65
25,241,GP241,0.068965517241379309,DP_cl65
26,150,GP150,0.20689655172413793,DP_cl65
27,86,GP86,0.22024526991256471,DN_cl31
28,22,GP22,0.50754512501251436,DN_cl31
29,2,GP2,0.069958664568170417,CD8_cl1
30,38,GP38,0.34865604260828986,CD8_cl2
31,102,GP102,0.16554813902814766,CD8_cl2
32,166,GP166,0.10258102630764847,CD8_cl2
33,62,GP62,0.16239443083438126,gdT_52
34,126,GP126,0.20787744031965266,DN_cl31
35,190,GP190,0.18661727925637428,DN_cl31
36,16,GP16,0.77650029691776967,DN_cl3
37,41,GP41,0.47770500055202125,DN_cl41
38,56,GP56,0.21876726565503574,DN_cl57
39,120,GP120,0.11004681679992762,CD8_cl10
40,184,GP184,0.065612280400594344,nonconv_miniverse
41,248,GP248,0.049382716097941821,DP_cl63
42,239,GP239,0.03600464576419319,gdT_cl28
43,111,GP111,0.3570686402187393,gdT_cl28
44,175,GP175,0.080840303436305536,gdT_cl28
45,76,GP76,0.13365748174223616,gdT_cl28
46,140,GP140,0.091176964937813174,CD8_cl11
47,204,GP204,0.039215686274509859,CD8_cl20
48,226,GP226,0.093423019431988039,DN_miniverse
49,59,GP59,0.83236614582767654,CD8aa_miniverse
50,123,GP123,0.21001907205194123,DN_miniverse
51,74,GP74,0.1380028380956147,gdT_cl26
52,138,GP138,0.16339225212117051,gdT_cl26
53,202,GP202,0.074786324949881994,Treg_prolif
54,219,GP219,0.083032797352832546,CD4_cl23
55,155,GP155,0.11606132606961488,CD4_cl23
56,91,GP91,0.21066178053779444,CD4_cl23
57,27,GP27,0.23005596364616462,CD4_cl23
58,6,GP6,0.59338858255253024,CD8_cl14
59,70,GP70,0.28954576788723568,CD8_cl14
60,134,GP134,0.17064899857078872,CD8_cl14
61,198,GP198,0.089504555573271485,CD8_cl14
62,242,GP242,0.056328145765750869,CD8_prolif
63,178,GP178,0.09622377287335955,CD8_cl6
64,114,GP114,0.19804689679883886,CD8_cl6
65,50,GP50,0.19774313373930655,CD8_cl13
66,168,GP168,0.033584181604714297,DP_cl65
67,232,GP232,0.43033703966513664,CD4_cl5
68,40,GP40,0.044485854319456279,CD4_cl5
69,104,GP104,0.089647004472713829,CD4_cl5
70,148,GP148,0.15639143044315021,CD4_cl5
71,84,GP84,0.089997579202743261,CD4_cl4
72,20,GP20,0.05919345584115368,CD4_cl4
73,7,GP7,0.20585568901292528,CD4_cl3
74,83,GP83,0.18641526285122953,CD4_cl4
75,147,GP147,0.11944416156036175,CD4_cl1
76,19,GP19,0.33326124684011449,CD4_cl1
77,58,GP58,0.13175665783590096,CD4_cl1
78,29,GP29,0.069752760763165778,CD4_cl4
79,9,GP9,0.28908995569165818,CD4_cl2
80,10,GP10,0.14746585187204009,CD4_cl2
81,73,GP73,0.16666666666666666,DP_cl14
82,25,GP25,0.14668597917953294,CD4_cl9
83,43,GP43,0.063741449103765266,CD4_cl10
84,171,GP171,0.085627775044494966,CD4_cl14
85,107,GP107,0.084049164506154447,nonconv_cl13
86,235,GP235,0.27799663777712558,nonconv_cl13
87,0,GP0,0.096275087891480662,DP_miniverse
88,64,GP64,0.059556930434281577,DP_miniverse
89,128,GP128,0.03444303474282906,CD4_cl13
90,192,GP192,0.013333333333333334,DP_prolif
91,181,GP181,0.12289763601972144,CD4_cl7
92,117,GP117,0.11685926953726784,CD4_cl7
93,53,GP53,0.064793952491564916,CD4_cl7
94,37,GP37,0.15510714003209294,CD8_cl22
95,101,GP101,0.11029466406139758,gdT_cl11
96,165,GP165,0.050895326000536409,CD8_cl11
97,206,GP206,0.076147759488632533,gdT_cl11
98,142,GP142,0.1588928971404632,gdT_cl11
99,78,GP78,0.19318661082056698,gdT_cl11
100,14,GP14,0.1137633253506799,gdT_cl11
101,186,GP186,0.073365194194919464,CD4_cl16
102,250,GP250,0.075471698113207544,DP_cl64
103,218,GP218,0.1327308827433093,DP_cl65
104,154,GP154,0.2218913641936858,CD4_cl16
105,90,GP90,0.13866601237600854,CD4_cl16
106,137,GP137,0.073109227278325958,gdT_cl10
107,201,GP201,0.053597269469998918,gdT_cl9
108,82,GP82,0.07628380865254776,CD4_cl25
109,146,GP146,0.043384914090178216,gdT_cl7
110,210,GP210,0.029838034764270153,gdT_cl7
111,220,GP220,0.16133589855267205,gdT_cl46
112,177,GP177,0.034482758620689655,DP_cl65
113,113,GP113,0.073049870256342561,thymocyte
114,179,GP179,0.068989888505811642,nonconv_prolif
115,211,GP211,0.063309820372956779,nonconv_cl21
116,93,GP93,0.039907643086282842,gdT_cl9
117,157,GP157,0.074146697585160584,DP_prolif
118,151,GP151,0.082983167307994349,CD8_cl5
119,87,GP87,0.10261757250767073,nonconv_prolif
120,23,GP23,0.079138942639994395,CD8_cl5
121,200,GP200,0.12820512820512819,DN_cl34
122,136,GP136,0.18055965869075868,CD8aa_cl20
123,72,GP72,0.23627804668105637,CD8aa_cl20
124,8,GP8,0.343458405291656,gdT_cl2
125,119,GP119,0.18335923288748857,gdT_cl35
126,55,GP55,0.13486329367278599,gdT_cl35
127,68,GP68,0.1930366471347463,CD8aa_cl16
128,4,GP4,0.087670085826408423,gdT_cl35
129,196,GP196,0.29038610091232592,CD8_cl18
130,247,GP247,0.18329673963322538,CD8_cl6
131,183,GP183,0.18747227363873536,DN_cl57
132,118,GP118,0.13011102951260667,gdT_cl5
133,209,GP209,0.21871580636358143,gdT_cl42
134,145,GP145,0.19513114692666089,gdT_cl42
135,81,GP81,0.16751512925039921,gdT_cl42
136,17,GP17,0.09069619391225843,gdT_cl42
137,66,GP66,0.070804422470723549,CD8_cl1
138,130,GP130,0.19764346861976909,CD8_cl1
139,194,GP194,0.21803511972047326,DN_cl58
140,249,GP249,0.077674268183985457,gdT_cl26
141,185,GP185,0.16666666666666666,DP_cl14
142,54,GP54,0.1665141781171163,DP_cl14
143,121,GP121,0.10672660308423992,CD8_cl18
144,212,GP212,0.4437299035369775,DP_cl62
145,132,GP132,0.24113470837942327,DP_cl62
146,92,GP92,0.30041885345863995,DP_cl62
147,156,GP156,0.28548678682998579,CD8_cl18
148,28,GP28,0.19844814431103652,DP_cl62
149,57,GP57,0.16328469000784035,CD8_cl25
150,36,GP36,0.072246118816448393,gdT_cl50
151,39,GP39,0.064521764362398357,gdT_cl50
152,103,GP103,0.129046821782065,gdT_cl50
153,167,GP167,0.32301312513319114,gdT_cl50
154,231,GP231,0.41935483870967744,gdT_cl50
155,65,GP65,0.096774093566402306,gdT_cl50
156,100,GP100,0.11591749367086354,CD8_cl18
157,164,GP164,0.15715717296247492,gdT_cl50
158,228,GP228,0.11160208606735314,CD4_cl16
159,236,GP236,0.14848407514412459,CD4_cl15
160,172,GP172,0.18371167589429482,CD8_cl13
161,108,GP108,0.12029079458834972,CD8_cl13
162,44,GP44,0.13519276244842499,CD8_cl13
163,227,GP227,0.2725281812960299,CD4_cl16
164,163,GP163,0.29009013010762313,CD4_cl25
165,99,GP99,0.24056091042873556,CD4_cl25
166,35,GP35,0.07799846112093349,CD4_cl25
167,18,GP18,0.16360278303240353,CD4_cl25
168,34,GP34,0.19802149961738175,CD4_cl25
169,98,GP98,0.19940741429537534,CD4_cl25
170,26,GP26,0.093174057237465885,CD4_cl25
171,49,GP49,0.18476268331948098,CD4_cl25
172,11,GP11,0.06702673220682244,CD4_cl17
173,75,GP75,0.094151415330567936,nonconv_cl8
174,15,GP15,0.036711165048543687,CD4_cl17
175,30,GP30,0.38985365195519767,CD4_cl21
176,45,GP45,0.13176582884335578,gdT_cl46
177,245,GP245,0.16666666666666666,DP_cl14
178,162,GP162,0.16666666666666666,DP_cl14
179,109,GP109,0.16666666666666666,DP_cl14
180,129,GP129,0.16666666666666666,DP_cl14
181,221,GP221,0.16666666666666666,DP_cl14
182,127,GP127,0.39316643860466793,CD4_cl18
183,63,GP63,0.80726139979383171,CD4_cl18
184,1,GP1,0.49850004945288751,CD8_cl18
185,47,GP47,0.5,gdT_53
186,12,GP12,0.5,gdT_53
187,182,GP182,0.49887838959693909,gdT_53
188,246,GP246,0.5,gdT_53
189,254,GP254,0.5,gdT_53
190,169,GP169,0.5,gdT_53
191,105,GP105,0.49958133697509766,gdT_53
192,94,GP94,0.5,gdT_53
193,255,GP255,0.033205102247418503,CD4_prolif
194,224,GP224,0.012539184952978056,nonconv_prolif
195,160,GP160,0.090909090909090912,nonconv_prolif
196,223,GP223,0.011627906976744186,DN_cl57
197,222,GP222,0.029069767441860465,DN_cl57
198,158,GP158,0.16055868139268975,CD4_prolif
199,89,GP89,0.06908831064863459,Treg_prolif
200,153,GP153,0.036324786324817837,Treg_prolif
201,203,GP203,0.027777777777777776,Treg_prolif
202,139,GP139,0.05052809569681363,nonconv_miniverse
203,193,GP193,0.023504273504273504,Treg_prolif
204,243,GP243,0.081364829396325458,DN_prolif
205,60,GP60,0.66272539275837694,DN_prolif
206,124,GP124,0.17868338557993729,nonconv_prolif
207,188,GP188,0.029914529914529916,Treg_prolif
208,216,GP216,0.015673981191222569,nonconv_prolif
209,215,GP215,0.12539184952978055,nonconv_prolif
210,69,GP69,0.17066668143070396,DP_prolif
211,133,GP133,0.040976364037994255,CD8_prolif
212,79,GP79,0.031101614434947768,Treg_prolif
213,197,GP197,0.0040360873694207031,Treg_prolif
214,143,GP143,0.0047483380816714148,Treg_prolif
215,217,GP217,0.011158594491928247,Treg_prolif
216,252,GP252,0.00071225071225071229,Treg_prolif
217,240,GP240,0.021367521367521368,Treg_prolif
218,176,GP176,0.12725545574910055,Treg_prolif
219,5,GP5,0.90002155055162858,CD8_cl28
220,233,GP233,0.055045883226654733,DN_cl18
221,80,GP80,0.25825965280173668,DN_prolif
222,144,GP144,0.20209973706348075,DN_prolif
223,208,GP208,0.045931758530183726,DN_prolif
224,110,GP110,0.020995530400063422,DN_prolif
225,46,GP46,0.007246376811594203,thymocyte
226,174,GP174,0.021739130434782608,thymocyte
227,214,GP214,0.065217391304347824,thymocyte
228,187,GP187,0.065217391304347824,thymocyte
229,251,GP251,0.0052493438320209973,DN_prolif
230,85,GP85,0.17053198927003091,gdT_prolif
231,213,GP213,0.014125032696834947,gdT_prolif
232,149,GP149,0.09312081706293418,gdT_prolif
233,238,GP238,0.0036620455139942452,gdT_prolif
234,237,GP237,0.027203766675385821,gdT_prolif
235,225,GP225,0.023280146481820561,gdT_prolif
236,173,GP173,0.035751840169906027,gdT_cl46
237,195,GP195,0.0429644356085708,CD8_prolif
238,131,GP131,0.091870649851335418,CD8_prolif
239,67,GP67,0.10578210094576336,CD8_cl7
240,253,GP253,0.035579641706869357,CD8_cl27
241,189,GP189,0.10742412132239945,CD8_cl27
242,125,GP125,0.16293015392253082,CD8_cl27
243,61,GP61,0.37199681990647887,CD8_cl27
244,152,GP152,0.049382716049382713,DP_cl63
245,88,GP88,0.20987654592352833,DP_cl63
246,24,GP24,0.69124966639336294,DP_cl63
247,52,GP52,0.44581256054248813,Treg_cl1
248,112,GP112,0.17478602832840431,Treg_miniverse
249,180,GP180,0.055413469735720373,Treg_miniverse
250,116,GP116,0.23094405113478977,Treg_miniverse
251,244,GP244,0.012345679012345678,DP_cl63
252,48,GP48,0.74332557280662548,Treg_cl2
253,96,GP96,0.15447571287179948,gdT_cl10
254,32,GP32,0.93787085180041019,gdT_cl10
255,207,GP207,0,CD4_cl1
