panel,figure_label,method,program,seed,rqvi_gp,flashier_factor,gene,gene_effect,mean_log_expr,source_column,above_0p1,abs_above_0p1,rank_positive_effect,rank_abs_effect
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Junb,1.0,0.9999662583638584,V35,True,True,1,1
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Fos,0.768003097970463,0.2931373640322552,V35,True,True,2,2
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Dusp1,0.635013225988213,0.2929474828736148,V35,True,True,3,3
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Jun,0.61444579693731,0.2437145558637696,V35,True,True,4,4
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Zfp36,0.570596839332306,0.3313246840135914,V35,True,True,5,5
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Jund,0.533436599238071,0.9376713915855432,V35,True,True,6,6
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Nfkbia,0.505670380460087,0.5145270074429671,V35,True,True,7,7
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Klf6,0.461293640674741,0.3315792175138229,V35,True,True,8,8
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Nr4a1,0.457357057314761,0.1869668052431459,V35,True,True,9,9
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Ppp1r15a,0.450227044652281,0.2193269740100628,V35,True,True,10,10
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Ier2,0.426168862752962,0.4253623314684862,V35,True,True,11,11
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Tnfaip3,0.401260463182164,0.3363646750492486,V35,True,True,12,12
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Pnrc1,0.380442849315215,0.7462375857713398,V35,True,True,13,13
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Btg2,0.356353893564734,0.4782499305708411,V35,True,True,14,14
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Cd69,0.325994886356604,0.1873477848525915,V35,True,True,15,15
Fig7g,Figure 7g,Flashier,Flashier F35,,,35,Zfp36l1,0.314553140839168,0.4936263172439352,V35,True,True,16,16
