panel,figure_label,method,program,seed,rqvi_gp,flashier_factor,gene,gene_effect,mean_log_expr,source_column,above_0p1,abs_above_0p1,rank_positive_effect,rank_abs_effect
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Xcl1,0.54451704,0.1518471722562817,96,True,True,1,1
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Tyrobp,0.4246056,0.1790052970195516,96,True,True,2,2
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Fcer1g,0.38897538,0.2936685703866989,96,True,True,3,3
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Cd7,0.31709206,0.5595129345062143,96,True,True,4,4
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Cd160,0.30241477,0.1635392549818794,96,True,True,5,5
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Nkg7,0.26849425,0.7700028486766818,96,True,True,6,6
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Anxa2,0.26757455,0.228858558444483,96,True,True,7,7
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Ctsw,0.2642542,0.5393402318387145,96,True,True,8,8
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Ly6c2,0.25887126,0.3447144581169442,96,True,True,9,10
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Klre1,0.25878382,0.0393502320990213,96,True,True,10,11
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Klra4,0.25321376,0.0007286567809567,96,True,True,11,12
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Il2rb,0.25226265,0.3744573671944127,96,True,True,12,13
FigS7g,Figure S7g,RQVI,"RQVI GP96 (seed 6), best match for Flashier F22",6,96,22,Klra7,0.2478795,0.043175109807874,96,True,True,13,14
