panel,figure_label,method,program,seed,rqvi_gp,flashier_factor,gene,gene_effect,mean_log_expr,source_column,above_0p1,abs_above_0p1,rank_positive_effect,rank_abs_effect
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Lef1,0.46330762,0.5657883939329592,110,True,True,1,10
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Tpt1,0.43478298,1.935185996017276,110,True,True,2,11
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Klf2,0.4230492,0.7539940142229535,110,True,True,3,13
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Ccr7,0.39697832,0.4167547181375548,110,True,True,4,15
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Il7r,0.3767224,0.5220813636442421,110,True,True,5,16
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Atp1b3,0.338265,0.5319206838603104,110,True,True,6,21
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Tcf7,0.315432,0.6076651414606652,110,True,True,7,24
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Dapl1,0.30696094,0.1300497249894696,110,True,True,8,25
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Sell,0.29181874,0.2976891673771832,110,True,True,9,27
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Tubb5,0.28838253,0.4936079147733681,110,True,True,10,29
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Cd8b1,0.28678823,0.4158294001918696,110,True,True,11,30
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Sidt1,0.28425163,0.1869640689009959,110,True,True,12,31
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Dgka,0.27612332,0.4498650800748109,110,True,True,13,32
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Peli1,0.2726394,0.4204713953223545,110,True,True,14,33
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Klf3,0.25026122,0.2608009364224498,110,True,True,15,35
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Crlf3,0.24617106,0.3431058252801439,110,True,True,16,37
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Rapgef6,0.23822236,0.5687149156720155,110,True,True,17,42
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Fam241a,0.23756804,0.1144390548097072,110,True,True,18,43
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Try5,0.23695552,0.0002108399318907,110,True,True,19,44
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Satb1,0.23438406,0.389834846829167,110,True,True,20,45
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Cmah,0.23351958,0.1755848299841984,110,True,True,21,46
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Smc4,0.22896677,0.3458156120257382,110,True,True,22,47
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Prss2,0.2151781,0.0019168615166994,110,True,True,23,52
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Lars2,0.21021652,1.0727836278023664,110,True,True,24,53
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Tsc22d3,0.20994678,0.3551576273179881,110,True,True,25,54
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Foxp1,0.20732033,0.4968259844769812,110,True,True,26,56
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Arl4c,0.20458406,0.2620361127097733,110,True,True,27,57
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Grap2,0.19522649,0.4746858115710808,110,True,True,28,64
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Ripor2,0.19277883,0.5738100872161405,110,True,True,29,66
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Macf1,0.1917997,0.4346645937879448,110,True,True,30,67
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Actn1,0.1862117,0.2298992351680714,110,True,True,31,71
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Hspe1,0.1861209,0.3369547592020727,110,True,True,32,72
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Arhgap15,0.18571785,0.7879705342458048,110,True,True,33,73
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Acp5,0.18236503,0.3285468400464429,110,True,True,34,76
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Akap13,0.17781812,0.6145241305787111,110,True,True,35,80
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Jak1,0.17556477,0.6729478097627405,110,True,True,36,82
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Ms4a4b,0.17162108,1.079985791150453,110,True,True,37,84
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,S1pr1,0.16539416,0.2585444205926601,110,True,True,38,87
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Ms4a6b,0.15931386,0.5943867551774948,110,True,True,39,90
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Add3,0.15614325,0.2706717462135615,110,True,True,40,93
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Itk,0.15473813,0.585783068408342,110,True,True,41,95
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Txnip,0.15405047,0.4023275315424409,110,True,True,42,97
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Stk38,0.15326989,0.2607589240418471,110,True,True,43,98
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Rflnb,0.14808205,0.2048812338829713,110,True,True,44,101
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Sh3bp5,0.14726256,0.0831281193763917,110,True,True,45,103
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Prkcq,0.14725682,0.3877681864147268,110,True,True,46,104
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Ablim1,0.1438294,0.518842455361373,110,True,True,47,106
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Il6ra,0.14343326,0.133430231097671,110,True,True,48,107
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Adamtsl5,0.13959724,0.0001986694702904,110,True,True,49,111
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Utrn,0.13929605,0.4178622261024133,110,True,True,50,112
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Tcp11l2,0.13810916,0.1696191709080502,110,True,True,51,113
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Emb,0.13649365,0.5145553936696291,110,True,True,52,115
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Rras2,0.13592325,0.125939763121063,110,True,True,53,116
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Foxo1,0.1306356,0.2891670153308637,110,True,True,54,122
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Rasgrp2,0.12987351,0.2323750858968166,110,True,True,55,124
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Ssh2,0.12948534,0.2787229126924314,110,True,True,56,126
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Ppic,0.12938857,0.0191742624857143,110,True,True,57,127
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Tagln2,0.12805063,0.5945671620345071,110,True,True,58,128
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Rasa3,0.12668186,0.2316408723644279,110,True,True,59,131
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Nsd3,0.12628978,0.4026971821898738,110,True,True,60,132
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Exoc3l2,0.12620634,0.0001784025374052,110,True,True,61,133
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Stat1,0.12620243,0.3404912381393206,110,True,True,62,134
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Pik3ip1,0.12619421,0.0884518822057478,110,True,True,63,135
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Klhl6,0.12572485,0.1633795114550273,110,True,True,64,137
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Thada,0.124908775,0.2231010851222968,110,True,True,65,138
FigS7i,Figure S7i,RQVI,"RQVI GP110 (seed 1), best match for Flashier F58",1,110,58,Rag1,0.123876035,0.000228288307825,110,True,True,66,140
