panel,figure_label,method,program,seed,rqvi_gp,flashier_factor,gene,gene_effect,mean_log_expr,source_column,above_0p1,abs_above_0p1,rank_positive_effect,rank_abs_effect
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Foxp3,0.4361421,0.0512787859334072,76,True,True,1,10
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Inpp4b,0.42270112,0.5960216713794264,76,True,True,2,11
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Ifi27l2a,0.41617388,0.6944381435965176,76,True,True,3,12
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Samhd1,0.40876135,0.3535322279113236,76,True,True,4,13
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Smc4,0.35650063,0.3458156120257382,76,True,True,5,16
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Izumo1r,0.35339862,0.1547662225431232,76,True,True,6,17
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Ly6c1,0.31964147,0.0835944651796694,76,True,True,7,21
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Ikzf2,0.30014166,0.2760683978341959,76,True,True,8,24
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Tnfrsf4,0.2996949,0.1139035122876565,76,True,True,9,25
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Pim1,0.29936075,0.314278870721948,76,True,True,10,26
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Stat1,0.28337246,0.3404912381393206,76,True,True,11,31
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Il2ra,0.28213057,0.0576318393766839,76,True,True,12,32
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Ctla4,0.27177444,0.1528470958732425,76,True,True,13,33
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Resf1,0.26728025,0.1628303385489403,76,True,True,14,34
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Ms4a6b,0.25622696,0.5943867551774948,76,True,True,15,37
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Ly6a,0.24681562,0.4324025060635709,76,True,True,16,39
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Zfp36l1,0.24473077,0.4936263172439352,76,True,True,17,41
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Klf2,0.22571504,0.7539940142229535,76,True,True,18,43
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Nfkbia,0.2247549,0.5145270074429671,76,True,True,19,44
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Try5,0.216708,0.0002108399318907,76,True,True,20,47
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Tnfrsf18,0.21175128,0.2268791275940055,76,True,True,21,49
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Capg,0.21140695,0.163663383185541,76,True,True,22,50
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,H2az1,0.20575464,0.6832562308588024,76,True,True,23,51
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Tsc22d3,0.20399216,0.3551576273179881,76,True,True,24,52
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Sell,0.20369193,0.2976891673771832,76,True,True,25,53
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Ift80,0.20256707,0.066708195076943,76,True,True,26,54
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Wfdc2,0.20232037,0.0009131783949574,76,True,True,27,55
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Tspan32,0.20117398,0.197632623645745,76,True,True,28,56
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Tmem64,0.1957303,0.1095142963823315,76,True,True,29,57
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Ets1,0.1950283,0.6942157363277947,76,True,True,30,58
FigS7j,Figure S7j,RQVI,"RQVI GP76 (seed 3), best match for Flashier F68",3,76,68,Crlf3,0.19377589,0.3431058252801439,76,True,True,31,59
