,mean_log_expr
Lmtk2,0.04763720260189843
Wnt10a,0.0023387413749037995
Chuk,0.04870119756336991
Setd2,0.12106302218699397
Arhgef38,4.5052212071144325e-05
Rd3,0.0010207182227675762
Memo1,0.06597694106585356
Cdan1,0.01557212333970088
Otoa,0.00031500664486413084
Asb8,0.04675553165114757
Abcc1,0.03018402935662534
P4htm,0.009162246194283057
Cd163,0.0004065614304332287
Atm,0.0782028730316912
Ptpn7,0.0988449836825335
Ephb2,0.0002652687836907035
Cdh24,0.008993323598769474
Dzip3,0.027664989442823945
Prss22,3.0136012173304855e-06
Casq2,7.760724089000554e-06
Vps53,0.0589896343726254
Fam114a1,0.0035735509200547364
Stxbp3,0.036575103002621276
Mef2d,0.11642452405401757
Cfap161,6.603707436847058e-06
Bcas3,0.0838223698464671
Vtn,1.8905865501188276e-05
Sv2b,2.4074274863103873e-05
Cyp2d26,0.0001520526985738939
Sgpp2,0.0002840780770947418
Asap1,0.17961166767465622
Sned1,0.00020527689677258173
Zfp106,0.11123448851214565
Srr,0.01934479945547946
Tmf1,0.08857958449309995
Tex14,0.02370708836443054
Sgk3,0.0358230429054566
Mfsd4b4,0.003270385720315003
Stmn2,0.00164532399136298
Megf9,0.00763060792035499
Lmo2,0.0010008621654155356
Slc16a3,0.013281244436946022
Pcdh11x,9.259777283472018e-05
Stat5a,0.06700143522547325
Tmx3,0.09191747342172174
Nudt12,0.0008220918916153592
Sdr16c6,6.857775171728822e-06
Vmn2r99,3.96076943159974e-05
Fitm2,0.004277268653620181
Klra1,0.02078492565504801
Sfn,0.01794377796115365
Usp32,0.0603535885870026
Odf1,3.792807050416564e-05
Serpina9,0.0012914121399977502
Tbata,9.874583417478866e-06
Fbxo43,5.431515209442798e-05
Aplf,0.008847183506686175
Zfp219,0.013242292393624898
Acox3,0.022056927102437812
Rap2b,0.07634034131328604
Tas2r143,1.2499901451574259e-05
Ccdc136,0.006612988591004441
Paip1,0.0661320996656506
Cd6,0.20318216141316645
Aqp12,1.946054620221295e-06
Rft1,0.015328290551352652
H6pd,0.016476211950869887
H4c3,0.015068070780131029
Hepacam,5.6312573980286815e-05
Dsg4,4.446595965535502e-06
D930020B18Rik,0.0003252484933859905
Oplah,0.004854597297444002
Gcfc2,0.015309877601723728
Slc38a1,0.17200637280615633
Dhx32,0.023378822099363587
Pik3c2g,4.813376581055832e-05
Iws1,0.09076458850490911
Chd3,0.3287835569777978
Nufip1,0.05686036276687411
Smco1,1.4123875777422723e-05
Cep162,0.021959495030363704
Mgam2-ps,3.4070937693445756e-05
Fzd10,0.00013451094216846947
Rab11fip2,0.05156292540834928
Cep290,0.010758074502820613
Nat10,0.02592727973185995
Zyg11b,0.07254539982350759
Cited2,0.22851718975406693
Catsper2,0.0041764134385090575
Gigyf1,0.028989713240543113
Barx2,0.0001560305405244483
Ankrd46,0.03721308445123746
